"","Simulation","Member1","Member2","Member3","Member4","Member5","Score","Rank","Weight"
"data.87","sim388","JUDA PAUL","MALONE BRODY","WALKER COLT","HONG ASHER","RICHARD FRED","258.736","3","1"
"data.88","sim389","MALONE BRODY","RICHARD FRED","HONG ASHER","WALKER COLT","GUIMARAES VITALIY","260.934","1","3"
"data.89","sim390","MALONE BRODY","PHILLIPS CURRAN","WHITTENBURG DONNELL","YOUNG KHOI","HONG ASHER","259.95275","3","1"
"data.90","sim391","RICHARD FRED","BOCK CAMERON","MOLDAUER YUL","GUIMARAES VITALIY","MALONE BRODY","256.81275","3","1"
"data.91","sim392","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","YOUNG KHOI","WHITTENBURG DONNELL","259.207","3","1"
"data.92","sim393","MALONE BRODY","YOUNG KHOI","NEDOROSCIK STEPHEN","MOLDAUER YUL","WISKUS SHANE","258.53975","3","1"
"data.93","sim394","MALONE BRODY","RICHARD FRED","HONG ASHER","MOLDAUER YUL","NEDOROSCIK STEPHEN","260.18825","2","2"
"data.94","sim395","JUDA PAUL","MALONE BRODY","GUIMARAES VITALIY","YOUNG KHOI","MOLDAUER YUL","257.75475","3","1"
"data.95","sim396","BRIONES BRANDON","JUDA PAUL","HONG ASHER","MALONE BRODY","WHITTENBURG DONNELL","257.637","3","1"
"data.96","sim397","JUDA PAUL","MALONE BRODY","YOUNG KHOI","HONG ASHER","WHITTENBURG DONNELL","260.934","1","3"
"data.97","sim398","BRIONES BRANDON","JUDA PAUL","GUIMARAES VITALIY","MOLDAUER YUL","MALONE BRODY","258.0295","4","0"
"data.98","sim399","MALONE BRODY","WALKER COLT","GUIMARAES VITALIY","HONG ASHER","WHITTENBURG DONNELL","258.736","2","2"
"data.99","sim400","MALONE BRODY","PHILLIPS CURRAN","WHITTENBURG DONNELL","BOCK CAMERON","YOUNG KHOI","258.22575","3","1"
"data.100","sim401","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","HONG ASHER","WHITTENBURG DONNELL","259.992","3","1"
"data.101","sim402","MALONE BRODY","RICHARD FRED","JUDA PAUL","SUN BLAKE","HONG ASHER","259.08925","3","1"
"data.102","sim403","MALONE BRODY","RICHARD FRED","BOCK CAMERON","PHILLIPS CURRAN","HONG ASHER","259.40325","2","2"
"data.103","sim404","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","SUN BLAKE","LOOS RILEY","258.14725","3","1"
"data.104","sim405","MALONE BRODY","WALKER COLT","RICHARD FRED","HONG ASHER","PHILLIPS CURRAN","259.63875","3","1"
"data.105","sim406","JUDA PAUL","MALONE BRODY","RICHARD FRED","HONG ASHER","GUIMARAES VITALIY","259.678","2","2"
"data.106","sim407","MALONE BRODY","LASIC IAN","MOLDAUER YUL","WALKER COLT","GUIMARAES VITALIY","258.265","3","1"
"data.107","sim408","BRIONES BRANDON","MALONE BRODY","HONG ASHER","RICHARD FRED","JUDA PAUL","259.24625","2","2"
"data.108","sim409","JUDA PAUL","MALONE BRODY","BOCK CAMERON","HONG ASHER","WHITTENBURG DONNELL","261.60125","2","2"
"data.109","sim410","BRIONES BRANDON","MALONE BRODY","GUIMARAES VITALIY","WALKER COLT","YOUNG KHOI","258.69675","2","2"
"data.110","sim411","WALKER COLT","MOLDAUER YUL","RICHARD FRED","YOUNG KHOI","NEDOROSCIK STEPHEN","259.08925","2","2"
"data.111","sim412","JUDA PAUL","MALONE BRODY","HONG ASHER","GUIMARAES VITALIY","NEDOROSCIK STEPHEN","258.9715","3","1"
"data.112","sim413","CHOU J.R.","MALONE BRODY","WISKUS SHANE","HONG ASHER","GUIMARAES VITALIY","258.579","3","1"
"data.113","sim414","JUDA PAUL","MALONE BRODY","HONG ASHER","GUIMARAES VITALIY","NEDOROSCIK STEPHEN","257.51925","3","1"
"data.114","sim415","JUDA PAUL","MALONE BRODY","GUIMARAES VITALIY","BOCK CAMERON","YOUNG KHOI","259.08925","2","2"
"data.115","sim416","CORMIER MATT","WHITTENBURG DONNELL","CHOU J.R.","HONG ASHER","BURKHART TAYLOR","257.04825","3","1"
"data.116","sim417","RICHARD FRED","WISKUS SHANE","WALKER COLT","WHITTENBURG DONNELL","MOLDAUER YUL","258.77525","3","1"
"data.117","sim418","RICHARD FRED","GUIMARAES VITALIY","PHILLIPS CURRAN","MALONE BRODY","YOUNG KHOI","258.77525","3","1"
"data.118","sim419","MALONE BRODY","BURKHART TAYLOR","PHILLIPS CURRAN","WHITTENBURG DONNELL","JUDA PAUL","258.22575","3","1"
"data.119","sim420","JUDA PAUL","MALONE BRODY","YOUNG KHOI","HONG ASHER","WHITTENBURG DONNELL","257.99025","3","1"
"data.120","sim421","MALONE BRODY","GUIMARAES VITALIY","WHITTENBURG DONNELL","MOLDAUER YUL","PHILLIPS CURRAN","259.4425","3","1"
"data.121","sim422","BOCK CAMERON","PHILLIPS CURRAN","JUDA PAUL","RICHARD FRED","GUIMARAES VITALIY","258.6575","3","1"
"data.122","sim423","RICHARD FRED","WISKUS SHANE","GUIMARAES VITALIY","WALKER COLT","WHITTENBURG DONNELL","259.48175","3","1"
"data.123","sim424","JUDA PAUL","MALONE BRODY","WISKUS SHANE","PHILLIPS CURRAN","HOOPES PATRICK","259.01075","3","1"
"data.124","sim425","MALONE BRODY","GUIMARAES VITALIY","CHOU J.R.","MOLDAUER YUL","WHITTENBURG DONNELL","259.2855","3","1"
"data.125","sim426","MALONE BRODY","GUIMARAES VITALIY","RICHARD FRED","BOCK CAMERON","WALKER COLT","258.38275","3","1"
"data.126","sim427","BRIONES BRANDON","MALONE BRODY","KARNES JOSHUA","GUIMARAES VITALIY","YOUNG KHOI","257.951","3","1"
"data.127","sim428","RICHARD FRED","GUIMARAES VITALIY","HONG ASHER","JUDA PAUL","WALKER COLT","260.0705","2","2"
"data.128","sim429","MALONE BRODY","PHILLIPS CURRAN","RICHARD FRED","GUIMARAES VITALIY","YOUNG KHOI","258.61825","2","2"
"data.129","sim430","JUDA PAUL","MALONE BRODY","RICHARD FRED","WALKER COLT","MOLDAUER YUL","259.364","3","1"
"data.130","sim431","WALKER COLT","WHITTENBURG DONNELL","YOUNG KHOI","MOLDAUER YUL","BOCK CAMERON","259.05","4","0"
"data.131","sim432","MALONE BRODY","RICHARD FRED","WISKUS SHANE","HONG ASHER","YOUNG KHOI","260.5415","3","1"
"data.132","sim433","JUDA PAUL","MALONE BRODY","HONG ASHER","YOUNG KHOI","PHILLIPS CURRAN","259.05","3","1"
"data.133","sim434","JUDA PAUL","RICHARD FRED","GUIMARAES VITALIY","WALKER COLT","WHITTENBURG DONNELL","259.678","3","1"
"data.134","sim435","RICHARD FRED","MALONE BRODY","MOLDAUER YUL","HONG ASHER","LOOS RILEY","258.5005","3","1"
"data.135","sim436","MALONE BRODY","PHILLIPS CURRAN","MOLDAUER YUL","WALKER COLT","YOUNG KHOI","258.265","3","1"
"data.136","sim437","MALONE BRODY","RICHARD FRED","HONG ASHER","JUDA PAUL","WALKER COLT","259.87425","2","2"
"data.137","sim438","LASIC IAN","MALONE BRODY","WISKUS SHANE","HONG ASHER","PHILLIPS CURRAN","258.6575","3","1"
"data.138","sim439","MALONE BRODY","JUDA PAUL","MOLDAUER YUL","RICHARD FRED","YOUNG KHOI","260.5415","3","1"
"data.139","sim440","MALONE BRODY","RICHARD FRED","WISKUS SHANE","GUIMARAES VITALIY","HOOPES PATRICK","260.6985","3","1"
"data.140","sim441","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","GUIMARAES VITALIY","HONG ASHER","260.3845","3","1"
"data.141","sim442","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","YOUNG KHOI","BRIONES BRANDON","260.65925","1","3"
"data.142","sim443","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","MOLDAUER YUL","WHITTENBURG DONNELL","260.50225","2","2"
"data.143","sim444","MALONE BRODY","WISKUS SHANE","NEDOROSCIK STEPHEN","HONG ASHER","YOUNG KHOI","257.166","3","1"
"data.144","sim445","MALONE BRODY","GUIMARAES VITALIY","WISKUS SHANE","BOCK CAMERON","WALKER COLT","257.009","3","1"
"data.145","sim446","RICHARD FRED","WALKER COLT","GUIMARAES VITALIY","YOUNG KHOI","SUN BLAKE","258.69675","3","1"
"data.146","sim447","JUDA PAUL","WALKER COLT","HALE DALLAS","MALONE BRODY","YOUNG KHOI","256.695","3","1"
"data.147","sim448","MALONE BRODY","RICHARD FRED","CHOU J.R.","SKIRKEY IAN","MOLDAUER YUL","259.207","2","2"
"data.148","sim449","MALONE BRODY","MOLDAUER YUL","WISKUS SHANE","WHITTENBURG DONNELL","YOUNG KHOI","259.56025","3","1"
"data.149","sim450","MALONE BRODY","RICHARD FRED","YOUNG KHOI","HONG ASHER","WHITTENBURG DONNELL","259.521","2","2"
"data.150","sim451","MALONE BRODY","RICHARD FRED","WALKER COLT","WHITTENBURG DONNELL","GUIMARAES VITALIY","257.28375","3","1"
"data.151","sim452","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","WISKUS SHANE","HONG ASHER","259.835","3","1"
"data.152","sim453","MALONE BRODY","RICHARD FRED","YOUNG KHOI","MOLDAUER YUL","GUIMARAES VITALIY","258.61825","3","1"
"data.153","sim454","MALONE BRODY","RICHARD FRED","BURKHART TAYLOR","BOCK CAMERON","NEDOROSCIK STEPHEN","256.34175","4","0"
"data.154","sim455","JUDA PAUL","MALONE BRODY","BOCK CAMERON","HONG ASHER","WHITTENBURG DONNELL","260.81625","3","1"
"data.155","sim456","JUDA PAUL","MALONE BRODY","MOLDAUER YUL","BOCK CAMERON","WALKER COLT","258.3435","3","1"
"data.156","sim457","MALONE BRODY","PHILLIPS CURRAN","MOLDAUER YUL","WALKER COLT","YOUNG KHOI","259.48175","3","1"
"data.157","sim458","MALONE BRODY","WALKER COLT","JUDA PAUL","SUN BLAKE","HONG ASHER","258.46125","3","1"
"data.158","sim459","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","WALKER COLT","YOUNG KHOI","260.97325","2","2"
"data.159","sim460","BOCK CAMERON","MALONE BRODY","WISKUS SHANE","NEDOROSCIK STEPHEN","HONG ASHER","256.3025","3","1"
"data.160","sim461","MALONE BRODY","GUIMARAES VITALIY","HONG ASHER","PHILLIPS CURRAN","YOUNG KHOI","259.01075","3","1"
"data.161","sim462","MALONE BRODY","WHITTENBURG DONNELL","SUN BLAKE","WALKER COLT","GUIMARAES VITALIY","256.6165","3","1"
"data.162","sim463","WISKUS SHANE","YOUNG KHOI","WALKER COLT","NEDOROSCIK STEPHEN","JUDA PAUL","256.73425","4","0"
"data.163","sim464","MALONE BRODY","WALKER COLT","YOUNG KHOI","SUN BLAKE","GUIMARAES VITALIY","259.207","2","2"
"data.164","sim465","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","WHITTENBURG DONNELL","HONG ASHER","259.521","2","2"
"data.165","sim466","CHOU J.R.","MALONE BRODY","WHITTENBURG DONNELL","MOLDAUER YUL","GUIMARAES VITALIY","258.85375","3","1"
"data.166","sim467","MALONE BRODY","WALKER COLT","CHOU J.R.","YOUNG KHOI","WISKUS SHANE","258.6575","3","1"
"data.167","sim468","LOOS RILEY","MALONE BRODY","RICHARD FRED","WALKER COLT","NEDOROSCIK STEPHEN","258.85375","3","1"
"data.168","sim469","BOCK CAMERON","JUDA PAUL","MALONE BRODY","WISKUS SHANE","WALKER COLT","257.637","3","1"
"data.169","sim470","MALONE BRODY","HONG ASHER","MOLDAUER YUL","PHILLIPS CURRAN","WALKER COLT","258.06875","3","1"
"data.170","sim471","MALONE BRODY","GUIMARAES VITALIY","PHILLIPS CURRAN","WALKER COLT","MOLDAUER YUL","257.20525","3","1"
"data.171","sim472","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","MOLDAUER YUL","GUIMARAES VITALIY","261.36575","1","3"
"data.172","sim473","JUDA PAUL","MALONE BRODY","WALKER COLT","RICHARD FRED","YOUNG KHOI","261.3265","2","2"
"data.173","sim474","JUDA PAUL","MALONE BRODY","MOLDAUER YUL","WALKER COLT","WHITTENBURG DONNELL","259.2855","2","2"
"data.174","sim475","JUDA PAUL","RICHARD FRED","MALONE BRODY","SKIRKEY IAN","WHITTENBURG DONNELL","260.2275","2","2"
"data.175","sim476","MALONE BRODY","RICHARD FRED","PHILLIPS CURRAN","WALKER COLT","GUIMARAES VITALIY","256.89125","3","1"
"data.176","sim477","JUDA PAUL","MALONE BRODY","MOLDAUER YUL","YOCKERS IGNACIO","YOUNG KHOI","256.81275","3","1"
"data.177","sim478","RICHARD FRED","MALONE BRODY","PHILLIPS CURRAN","SKIRKEY IAN","WHITTENBURG DONNELL","257.794","3","1"
"data.178","sim479","LOOS RILEY","RICHARD FRED","WALKER COLT","GUIMARAES VITALIY","BRIONES BRANDON","256.7735","3","1"
"data.179","sim480","JUDA PAUL","WALKER COLT","WHITTENBURG DONNELL","MOLDAUER YUL","YOUNG KHOI","256.65575","3","1"
"data.180","sim481","MALONE BRODY","WISKUS SHANE","RICHARD FRED","HONG ASHER","JUDA PAUL","258.5005","3","1"
"data.181","sim482","JUDA PAUL","MALONE BRODY","WALKER COLT","WISKUS SHANE","WHITTENBURG DONNELL","259.95275","2","2"
"data.182","sim483","MALONE BRODY","WISKUS SHANE","CHOU J.R.","GUIMARAES VITALIY","WALKER COLT","258.579","4","0"
"data.183","sim484","JUDA PAUL","MALONE BRODY","ALFONSO JAVIER","HONG ASHER","SUN BLAKE","258.38275","3","1"
"data.184","sim485","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","YOUNG KHOI","MOLDAUER YUL","260.5415","1","3"
"data.185","sim486","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","CHOU J.R.","WHITTENBURG DONNELL","258.0295","3","1"
"data.186","sim487","GUIMARAES VITALIY","MOLDAUER YUL","WHITTENBURG DONNELL","YOUNG KHOI","NEDOROSCIK STEPHEN","257.794","3","1"
"data.187","sim488","MALONE BRODY","PHILLIPS CURRAN","MOLDAUER YUL","WALKER COLT","NEDOROSCIK STEPHEN","259.05","3","1"
"data.188","sim489","JUDA PAUL","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","HONG ASHER","258.0295","3","1"
"data.189","sim490","JUDA PAUL","MALONE BRODY","CHOU J.R.","WALKER COLT","GUIMARAES VITALIY","257.75475","3","1"
"data.190","sim491","JUDA PAUL","MALONE BRODY","WISKUS SHANE","MOLDAUER YUL","YOUNG KHOI","260.0705","2","2"
"data.191","sim492","BRIONES BRANDON","MALONE BRODY","GUIMARAES VITALIY","WALKER COLT","HONG ASHER","258.14725","2","2"
"data.192","sim493","MALONE BRODY","RICHARD FRED","YOUNG KHOI","PHILLIPS CURRAN","JUDA PAUL","260.34525","3","1"
"data.193","sim494","LOOS RILEY","RICHARD FRED","JUDA PAUL","BOCK CAMERON","HONG ASHER","260.34525","1","3"
"data.194","sim495","MALONE BRODY","GUIMARAES VITALIY","YOUNG KHOI","HONG ASHER","WHITTENBURG DONNELL","258.77525","3","1"
"data.195","sim496","MALONE BRODY","PHILLIPS CURRAN","JUDA PAUL","MOLDAUER YUL","BOCK CAMERON","261.28725","1","3"
"data.196","sim497","MALONE BRODY","RICHARD FRED","HONG ASHER","GUIMARAES VITALIY","PHILLIPS CURRAN","260.10975","3","1"
"data.197","sim498","MALONE BRODY","PHILLIPS CURRAN","WISKUS SHANE","YOUNG KHOI","BOCK CAMERON","260.62","2","2"
"data.198","sim499","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","WHITTENBURG DONNELL","YOUNG KHOI","257.5585","3","1"
"data.199","sim500","RICHARD FRED","GUIMARAES VITALIY","JUDA PAUL","MALONE BRODY","WALKER COLT","258.1865","3","1"
