"","Simulation","Member1","Member2","Member3","Member4","Member5","Score","Rank","Weight"
"data.42","sim943","MALONE BRODY","WHITTENBURG DONNELL","HONG ASHER","YOUNG KHOI","WALKER COLT","259.24625","3","1"
"data.43","sim944","MALONE BRODY","PHILLIPS CURRAN","YOUNG KHOI","JUDA PAUL","HONG ASHER","257.009","3","1"
"data.44","sim945","JUDA PAUL","MALONE BRODY","WALKER COLT","YOUNG KHOI","NEDOROSCIK STEPHEN","259.678","2","2"
"data.45","sim946","MALONE BRODY","YOUNG KHOI","WHITTENBURG DONNELL","SUN BLAKE","WALKER COLT","257.28375","3","1"
"data.46","sim947","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","YOUNG KHOI","NEDOROSCIK STEPHEN","259.678","2","2"
"data.47","sim948","MALONE BRODY","PHILLIPS CURRAN","YOUNG KHOI","HONG ASHER","JUDA PAUL","258.46125","2","2"
"data.48","sim949","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","YOUNG KHOI","NEDOROSCIK STEPHEN","258.736","3","1"
"data.49","sim950","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","YOUNG KHOI","259.992","2","2"
"data.50","sim951","JUDA PAUL","MALONE BRODY","HONG ASHER","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","256.9305","3","1"
"data.51","sim952","MALONE BRODY","PHILLIPS CURRAN","WALKER COLT","WHITTENBURG DONNELL","HONG ASHER","257.951","3","1"
"data.52","sim953","MALONE BRODY","WALKER COLT","HONG ASHER","YOUNG KHOI","PHILLIPS CURRAN","258.736","2","2"
"data.53","sim954","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","WHITTENBURG DONNELL","HONG ASHER","257.83325","4","0"
"data.54","sim955","JUDA PAUL","MALONE BRODY","HONG ASHER","WALKER COLT","YOUNG KHOI","257.59775","3","1"
"data.55","sim956","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","YOUNG KHOI","WHITTENBURG DONNELL","260.42375","2","2"
"data.56","sim957","HONG ASHER","MALONE BRODY","WHITTENBURG DONNELL","JUDA PAUL","YOUNG KHOI","257.323","4","0"
"data.57","sim958","JUDA PAUL","YOUNG KHOI","MALONE BRODY","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","255.596","4","0"
"data.58","sim959","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","WHITTENBURG DONNELL","HONG ASHER","257.951","3","1"
"data.59","sim960","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","WALKER COLT","YOUNG KHOI","257.5585","3","1"
"data.60","sim961","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","YOUNG KHOI","257.5585","3","1"
"data.61","sim962","HONG ASHER","JUDA PAUL","YOUNG KHOI","SUN BLAKE","WHITTENBURG DONNELL","252.96625","4","0"
"data.62","sim963","JUDA PAUL","WALKER COLT","HONG ASHER","YOUNG KHOI","MALONE BRODY","255.596","3","1"
"data.63","sim964","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","YOUNG KHOI","260.58075","2","2"
"data.64","sim965","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","WALKER COLT","YOUNG KHOI","255.5175","3","1"
"data.65","sim966","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","WALKER COLT","NEDOROSCIK STEPHEN","258.422","3","1"
"data.66","sim967","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","WALKER COLT","WHITTENBURG DONNELL","258.77525","3","1"
"data.67","sim968","JUDA PAUL","WALKER COLT","YOUNG KHOI","MALONE BRODY","HONG ASHER","254.61475","3","1"
"data.68","sim969","MALONE BRODY","WHITTENBURG DONNELL","HONG ASHER","WALKER COLT","YOUNG KHOI","257.2445","3","1"
"data.69","sim970","JUDA PAUL","MALONE BRODY","YOUNG KHOI","WALKER COLT","WHITTENBURG DONNELL","260.89475","1","3"
"data.70","sim971","MALONE BRODY","YOUNG KHOI","HONG ASHER","WALKER COLT","NEDOROSCIK STEPHEN","257.75475","3","1"
"data.71","sim972","JUDA PAUL","MALONE BRODY","YOUNG KHOI","HONG ASHER","WHITTENBURG DONNELL","259.56025","2","2"
"data.72","sim973","JUDA PAUL","MALONE BRODY","HONG ASHER","WALKER COLT","YOUNG KHOI","258.46125","3","1"
"data.73","sim974","HONG ASHER","MALONE BRODY","WHITTENBURG DONNELL","YOUNG KHOI","WALKER COLT","258.0295","3","1"
"data.74","sim975","MALONE BRODY","PHILLIPS CURRAN","JUDA PAUL","HONG ASHER","YOUNG KHOI","257.5585","3","1"
"data.75","sim976","JUDA PAUL","MALONE BRODY","WALKER COLT","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","257.794","3","1"
"data.76","sim977","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","WALKER COLT","NEDOROSCIK STEPHEN","255.71375","3","1"
"data.77","sim978","JUDA PAUL","MALONE BRODY","WALKER COLT","YOUNG KHOI","WHITTENBURG DONNELL","257.323","3","1"
"data.78","sim979","HONG ASHER","MALONE BRODY","YOUNG KHOI","JUDA PAUL","NEDOROSCIK STEPHEN","257.2445","3","1"
"data.79","sim980","HONG ASHER","MALONE BRODY","WALKER COLT","YOUNG KHOI","NEDOROSCIK STEPHEN","256.4595","3","1"
"data.80","sim981","JUDA PAUL","MALONE BRODY","YOUNG KHOI","HONG ASHER","WALKER COLT","257.323","3","1"
"data.81","sim982","JUDA PAUL","MALONE BRODY","WALKER COLT","YOUNG KHOI","NEDOROSCIK STEPHEN","257.009","3","1"
"data.82","sim983","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","YOUNG KHOI","260.42375","3","1"
"data.83","sim984","MALONE BRODY","WHITTENBURG DONNELL","YOUNG KHOI","JUDA PAUL","WALKER COLT","253.712","4","0"
"data.84","sim985","JUDA PAUL","MALONE BRODY","WALKER COLT","YOUNG KHOI","WHITTENBURG DONNELL","258.46125","2","2"
"data.85","sim986","MALONE BRODY","WALKER COLT","WHITTENBURG DONNELL","YOUNG KHOI","HONG ASHER","256.224","3","1"
"data.86","sim987","JUDA PAUL","WALKER COLT","MALONE BRODY","WHITTENBURG DONNELL","YOUNG KHOI","255.39975","4","0"
"data.87","sim988","JUDA PAUL","MALONE BRODY","WALKER COLT","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","254.811","3","1"
"data.88","sim989","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","PHILLIPS CURRAN","YOUNG KHOI","257.75475","3","1"
"data.89","sim990","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","WALKER COLT","258.38275","3","1"
"data.90","sim991","HONG ASHER","MALONE BRODY","JUDA PAUL","YOUNG KHOI","NEDOROSCIK STEPHEN","256.4595","3","1"
"data.91","sim992","MALONE BRODY","PHILLIPS CURRAN","YOUNG KHOI","JUDA PAUL","WHITTENBURG DONNELL","257.48","3","1"
"data.92","sim993","JUDA PAUL","MALONE BRODY","WALKER COLT","YOUNG KHOI","HONG ASHER","257.637","3","1"
"data.93","sim994","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","WALKER COLT","YOUNG KHOI","259.521","3","1"
"data.94","sim995","JUDA PAUL","MALONE BRODY","YOUNG KHOI","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","258.265","3","1"
"data.95","sim996","JUDA PAUL","MALONE BRODY","HONG ASHER","YOUNG KHOI","NEDOROSCIK STEPHEN","256.02775","4","0"
"data.96","sim997","JUDA PAUL","MALONE BRODY","YOUNG KHOI","HONG ASHER","NEDOROSCIK STEPHEN","258.8145","2","2"
"data.97","sim998","JUDA PAUL","MALONE BRODY","YOUNG KHOI","HONG ASHER","WHITTENBURG DONNELL","259.63875","2","2"
"data.98","sim999","JUDA PAUL","PHILLIPS CURRAN","WALKER COLT","HONG ASHER","MALONE BRODY","257.166","3","1"
"data.99","sim1000","JUDA PAUL","MALONE BRODY","YOUNG KHOI","WALKER COLT","HONG ASHER","259.521","3","1"
