"","Simulation","Member1","Member2","Member3","Member4","Member5","Score","Rank","Weight"
"data.54","sim655","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","HONG ASHER","WALKER COLT","260.65925","1","3"
"data.55","sim656","MALONE BRODY","PHILLIPS CURRAN","MOLDAUER YUL","GUIMARAES VITALIY","WHITTENBURG DONNELL","261.719","1","3"
"data.56","sim657","JUDA PAUL","MALONE BRODY","RICHARD FRED","YOUNG KHOI","WALKER COLT","258.22575","3","1"
"data.57","sim658","BRIONES BRANDON","MALONE BRODY","HONG ASHER","LASIC IAN","MOLDAUER YUL","257.2445","3","1"
"data.58","sim659","JUDA PAUL","RICHARD FRED","HONG ASHER","WALKER COLT","NEDOROSCIK STEPHEN","256.10625","3","1"
"data.59","sim660","RICHARD FRED","MOLDAUER YUL","PHILLIPS CURRAN","HONG ASHER","WHITTENBURG DONNELL","259.79575","2","2"
"data.60","sim661","MALONE BRODY","PHILLIPS CURRAN","WALKER COLT","WHITTENBURG DONNELL","HONG ASHER","257.75475","3","1"
"data.61","sim662","JUDA PAUL","MALONE BRODY","RICHARD FRED","SUN BLAKE","WHITTENBURG DONNELL","260.0705","3","1"
"data.62","sim663","JUDA PAUL","MALONE BRODY","GUIMARAES VITALIY","WALKER COLT","HONG ASHER","258.06875","3","1"
"data.63","sim664","MALONE BRODY","RICHARD FRED","WALKER COLT","GUIMARAES VITALIY","YOUNG KHOI","258.6575","3","1"
"data.64","sim665","MALONE BRODY","RICHARD FRED","WALKER COLT","WISKUS SHANE","NEDOROSCIK STEPHEN","256.852","3","1"
"data.65","sim666","MALONE BRODY","RICHARD FRED","YOUNG KHOI","MOLDAUER YUL","WALKER COLT","259.2855","3","1"
"data.66","sim667","MALONE BRODY","GUIMARAES VITALIY","WISKUS SHANE","PHILLIPS CURRAN","NEDOROSCIK STEPHEN","258.265","3","1"
"data.67","sim668","MALONE BRODY","RICHARD FRED","YOUNG KHOI","GUIMARAES VITALIY","HONG ASHER","261.44425","1","3"
"data.68","sim669","MALONE BRODY","RICHARD FRED","JUDA PAUL","SUN BLAKE","MOLDAUER YUL","257.83325","2","2"
"data.69","sim670","MALONE BRODY","WALKER COLT","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","YOUNG KHOI","260.42375","3","1"
"data.70","sim671","MALONE BRODY","YOUNG KHOI","WHITTENBURG DONNELL","WALKER COLT","JUDA PAUL","259.5995","2","2"
"data.71","sim672","MALONE BRODY","WALKER COLT","HONG ASHER","JUDA PAUL","GUIMARAES VITALIY","259.992","1","3"
"data.72","sim673","RICHARD FRED","MALONE BRODY","GUIMARAES VITALIY","YOUNG KHOI","HONG ASHER","259.16775","3","1"
"data.73","sim674","MALONE BRODY","PHILLIPS CURRAN","GUIMARAES VITALIY","MOLDAUER YUL","WALKER COLT","258.93225","2","2"
"data.74","sim675","MALONE BRODY","RICHARD FRED","HONG ASHER","PHILLIPS CURRAN","WALKER COLT","261.4835","1","3"
"data.75","sim676","CHOU J.R.","WALKER COLT","BOCK CAMERON","HONG ASHER","BURKHART TAYLOR","257.75475","3","1"
"data.76","sim677","JUDA PAUL","MALONE BRODY","HONG ASHER","BOCK CAMERON","YOUNG KHOI","258.30425","3","1"
"data.77","sim678","HONG ASHER","PHILLIPS CURRAN","RICHARD FRED","WISKUS SHANE","YOUNG KHOI","259.9135","1","3"
"data.78","sim679","BOCK CAMERON","MALONE BRODY","GUIMARAES VITALIY","JUDA PAUL","YOUNG KHOI","258.1865","3","1"
"data.79","sim680","MALONE BRODY","GUIMARAES VITALIY","HONG ASHER","WALKER COLT","JUDA PAUL","258.422","3","1"
"data.80","sim681","RICHARD FRED","GUIMARAES VITALIY","MOLDAUER YUL","HONG ASHER","WHITTENBURG DONNELL","256.4595","3","1"
"data.81","sim682","MALONE BRODY","BOCK CAMERON","JUDA PAUL","HONG ASHER","WHITTENBURG DONNELL","259.5995","2","2"
"data.82","sim683","RICHARD FRED","MOLDAUER YUL","PHILLIPS CURRAN","GUIMARAES VITALIY","HONG ASHER","259.95275","2","2"
"data.83","sim684","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","YOUNG KHOI","WALKER COLT","259.4425","1","3"
"data.84","sim685","MALONE BRODY","LASIC IAN","MOLDAUER YUL","LOOS RILEY","WHITTENBURG DONNELL","255.32125","4","0"
"data.85","sim686","JUDA PAUL","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","HONG ASHER","260.8555","1","3"
"data.86","sim687","JUDA PAUL","MALONE BRODY","HONG ASHER","GUIMARAES VITALIY","YOUNG KHOI","258.46125","3","1"
"data.87","sim688","JUDA PAUL","MALONE BRODY","GUIMARAES VITALIY","WALKER COLT","HONG ASHER","257.8725","3","1"
"data.88","sim689","BRIONES BRANDON","MALONE BRODY","WALKER COLT","GUIMARAES VITALIY","HONG ASHER","257.166","3","1"
"data.89","sim690","JUDA PAUL","MALONE BRODY","HONG ASHER","WALKER COLT","WHITTENBURG DONNELL","257.5585","3","1"
"data.90","sim691","MALONE BRODY","GUIMARAES VITALIY","JUDA PAUL","WALKER COLT","WHITTENBURG DONNELL","261.876","3","1"
"data.91","sim692","MALONE BRODY","RICHARD FRED","WISKUS SHANE","WALKER COLT","YOUNG KHOI","259.95275","1","3"
"data.92","sim693","JUDA PAUL","MALONE BRODY","GUIMARAES VITALIY","HALE DALLAS","BLIXT LANDEN","254.14375","3","1"
"data.93","sim694","HONG ASHER","MOLDAUER YUL","PHILLIPS CURRAN","GUIMARAES VITALIY","WALKER COLT","259.521","3","1"
"data.94","sim695","BOCK CAMERON","MALONE BRODY","WISKUS SHANE","GUIMARAES VITALIY","WHITTENBURG DONNELL","257.48","3","1"
"data.95","sim696","RICHARD FRED","GUIMARAES VITALIY","JUDA PAUL","MOLDAUER YUL","NEDOROSCIK STEPHEN","257.8725","3","1"
"data.96","sim697","MALONE BRODY","GUIMARAES VITALIY","CHOU J.R.","NEDOROSCIK STEPHEN","HONG ASHER","258.265","2","2"
"data.97","sim698","JUDA PAUL","MALONE BRODY","CHOU J.R.","MOLDAUER YUL","WALKER COLT","258.85375","2","2"
"data.98","sim699","BOCK CAMERON","JUDA PAUL","GUIMARAES VITALIY","WISKUS SHANE","HONG ASHER","259.87425","3","1"
"data.99","sim700","MALONE BRODY","LOOS RILEY","WHITTENBURG DONNELL","YOUNG KHOI","NEDOROSCIK STEPHEN","260.149","2","2"
