"","Country","FullName","meanFX"
"139","USA","DIAB ALEX",13.185174
"140","USA","FREEMAN JACK",13.46043425
"141","USA","GAMBOA RAYDEL",13.43531425
"142","USA","GUIMARAES VITALIY",14.229381
"143","USA","GUNTHER IAN",13.06322425
"144","USA","HALE DALLAS",13.085322
"145","USA","HONG ASHER",13.8922235
"146","USA","JAROH MICHAEL",11.91751675
"147","USA","JUDA PAUL",14.2982255
"148","USA","KARNES JOSHUA",13.20056
"149","USA","LASIC IAN",13.61876875
"150","USA","LOOS RILEY",13.71391075
"151","USA","LOPEZ JOSE",12.12726875
"152","USA","MALONE BRODY",13.71971975
"153","USA","MCCOOL CONNOR",14.00585225
"154","USA","MELTON CALEB",12.8885225
"155","USA","MOLDAUER YUL",14.05255975
"156","USA","NELSON KAMERON",13.3560685
"157","USA","NUNEZ ZACHARY",12.86155775
"158","USA","PEREZ ANDRES",12.8467605
"159","USA","PETROSYAN VAHE",11.77127125
"160","USA","RICHARD FRED",13.89375425
"161","USA","VAN COLIN",13.438729
"162","USA","WALKER COLT",13.3019035
"163","USA","WHITTENBURG DONNELL",13.6692835
"164","USA","WISKUS SHANE",13.73526275
"165","USA","YOCKERS IGNACIO",11.7292345
"166","USA","YOUNG KHOI",13.98018275
