"","Simulation","Member1","Member2","Member3","Member4","Member5","Score","Rank","Weight"
"data.87","sim88","BILES SIMONE","MCCLAIN KONNOR","ROBERSON JOSCELYN","CAREY JADE","JONES SHILESE","174.0345","1","3"
"data.88","sim89","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","MILLER ZOE","BLAKELY SKYE","172.229","1","3"
"data.89","sim90","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","MILLER ZOE","173.5635","1","3"
"data.90","sim91","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","CHILES JORDAN","JONES SHILESE","171.444","1","3"
"data.91","sim92","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","MILLER ZOE","CAREY JADE","173.642","1","3"
"data.92","sim93","BILES SIMONE","CAREY JADE","MCCLAIN KONNOR","BLAKELY SKYE","CHILES JORDAN","172.229","1","3"
"data.93","sim94","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","WONG LEANNE","CAREY JADE","174.62325","1","3"
"data.94","sim95","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","CHILES JORDAN","JONES SHILESE","172.7","1","3"
"data.95","sim96","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","MILLER ZOE","BLAKELY SKYE","172.34675","1","3"
"data.96","sim97","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","LINCOLN KALIYA","MILLER ZOE","172.42525","1","3"
"data.97","sim98","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","WONG LEANNE","CAREY JADE","172.58225","1","3"
"data.98","sim99","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","LINCOLN KALIYA","JONES SHILESE","172.97475","1","3"
"data.99","sim100","BILES SIMONE","MCCLAIN KONNOR","WONG LEANNE","CAREY JADE","JONES SHILESE","173.328","1","3"
"data.100","sim101","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","173.99525","1","3"
"data.101","sim102","BLAKELY SKYE","MCCLAIN KONNOR","BILES SIMONE","JONES SHILESE","MILLER ZOE","174.54475","1","3"
"data.102","sim103","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","CHILES JORDAN","172.81775","1","3"
"data.103","sim104","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","ROBERSON JOSCELYN","MILLER ZOE","173.171","1","3"
"data.104","sim105","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","CHILES JORDAN","MILLER ZOE","173.642","1","3"
"data.105","sim106","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","CHILES JORDAN","MILLER ZOE","173.171","1","3"
"data.106","sim107","BILES SIMONE","JONG KATELYN","MCCLAIN KONNOR","BLAKELY SKYE","JONES SHILESE","172.543","1","3"
"data.107","sim108","BILES SIMONE","BLAKELY SKYE","CHILES JORDAN","LINCOLN KALIYA","MILLER ZOE","174.27","1","3"
"data.108","sim109","BILES SIMONE","MCCLAIN KONNOR","CHILES JORDAN","WONG LEANNE","MILLER ZOE","174.9765","1","3"
"data.109","sim110","BLAKELY SKYE","MCCLAIN KONNOR","BILES SIMONE","LINCOLN KALIYA","ROBERSON JOSCELYN","172.4645","1","3"
"data.110","sim111","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","CHILES JORDAN","WONG LEANNE","172.386","1","3"
"data.111","sim112","BILES SIMONE","MCCLAIN KONNOR","SULLIVAN ASHLEE","JONES SHILESE","BLAKELY SKYE","171.95425","1","3"
"data.112","sim113","BILES SIMONE","BLAKELY SKYE","CAREY JADE","JONES SHILESE","MILLER ZOE","173.21025","1","3"
"data.113","sim114","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","MILLER ZOE","174.741","1","3"
"data.114","sim115","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","LINCOLN KALIYA","CAREY JADE","173.7205","1","3"
"data.115","sim116","BILES SIMONE","MCCLAIN KONNOR","WONG LEANNE","LINCOLN KALIYA","JONES SHILESE","172.543","1","3"
"data.116","sim117","BILES SIMONE","MCCLAIN KONNOR","SULLIVAN ASHLEE","ROBERSON JOSCELYN","CAREY JADE","171.2085","1","3"
"data.117","sim118","BILES SIMONE","CAREY JADE","MCCLAIN KONNOR","JONES SHILESE","BLAKELY SKYE","172.81775","1","3"
"data.118","sim119","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","173.52425","1","3"
"data.119","sim120","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","MILLER ZOE","WONG LEANNE","173.36725","1","3"
"data.120","sim121","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","BLAKELY SKYE","CAREY JADE","174.898","1","3"
"data.121","sim122","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","MILLER ZOE","SUMANASEKERA TIANA","171.79725","1","3"
"data.122","sim123","BILES SIMONE","MCCLAIN KONNOR","SULLIVAN ASHLEE","JONES SHILESE","LINCOLN KALIYA","173.171","1","3"
"data.123","sim124","BILES SIMONE","LINCOLN KALIYA","CHILES JORDAN","MILLER ZOE","BLAKELY SKYE","171.6795","1","3"
"data.124","sim125","BILES SIMONE","MCCLAIN KONNOR","WONG LEANNE","CHILES JORDAN","MILLER ZOE","174.38775","1","3"
"data.125","sim126","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","LINCOLN KALIYA","MATTHEWS NOLA","173.44575","1","3"
"data.126","sim127","BILES SIMONE","MCCLAIN KONNOR","ROBERSON JOSCELYN","CAREY JADE","MILLER ZOE","173.328","1","3"
"data.127","sim128","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","CHILES JORDAN","MILLER ZOE","170.69825","1","3"
"data.128","sim129","BILES SIMONE","MCCLAIN KONNOR","BLAKELY SKYE","JONES SHILESE","ROBERSON JOSCELYN","173.05325","1","3"
"data.129","sim130","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","MILLER ZOE","CAREY JADE","173.4065","1","3"
"data.130","sim131","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","MILLER ZOE","CAREY JADE","173.956","1","3"
"data.131","sim132","BILES SIMONE","MCCLAIN KONNOR","ROBERSON JOSCELYN","CAREY JADE","JONES SHILESE","174.427","1","3"
"data.132","sim133","BILES SIMONE","MCCLAIN KONNOR","ROBERSON JOSCELYN","BLAKELY SKYE","JONES SHILESE","172.66075","1","3"
"data.133","sim134","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","BLAKELY SKYE","JONES SHILESE","173.642","1","3"
"data.134","sim135","BILES SIMONE","MCCLAIN KONNOR","WONG LEANNE","JONES SHILESE","MILLER ZOE","175.055","1","3"
"data.135","sim136","BILES SIMONE","MCCLAIN KONNOR","ROBERSON JOSCELYN","JONES SHILESE","MILLER ZOE","172.857","1","3"
"data.136","sim137","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","MILLER ZOE","CHILES JORDAN","174.9765","1","3"
"data.137","sim138","BILES SIMONE","MCCLAIN KONNOR","WONG LEANNE","JONES SHILESE","MILLER ZOE","172.229","1","3"
"data.138","sim139","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","CAREY JADE","BOOTH CHARLOTTE","174.15225","1","3"
"data.139","sim140","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","BLAKELY SKYE","CAREY JADE","173.328","1","3"
"data.140","sim141","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","CHILES JORDAN","MILLER ZOE","173.171","1","3"
"data.141","sim142","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","JONES SHILESE","LINCOLN KALIYA","170.8945","1","3"
"data.142","sim143","BILES SIMONE","MCCLAIN KONNOR","ROBERSON JOSCELYN","CHILES JORDAN","JONES SHILESE","172.66075","1","3"
"data.143","sim144","BILES SIMONE","JONES SHILESE","CHILES JORDAN","BLAKELY SKYE","MCCLAIN KONNOR","173.171","1","3"
"data.144","sim145","MCCLAIN KONNOR","BILES SIMONE","CHILES JORDAN","JONES SHILESE","MILLER ZOE","172.7","1","3"
"data.145","sim146","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","CHILES JORDAN","JONES SHILESE","171.79725","1","3"
"data.146","sim147","BILES SIMONE","BLAKELY SKYE","CAREY JADE","MILLER ZOE","MCCLAIN KONNOR","171.915","1","3"
"data.147","sim148","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","JONES SHILESE","NEAL MARISSA","173.485","1","3"
"data.148","sim149","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","CHILES JORDAN","BLAKELY SKYE","173.83825","1","3"
"data.149","sim150","BILES SIMONE","MCCLAIN KONNOR","WONG LEANNE","JONES SHILESE","JONG KATELYN","173.956","1","3"
"data.150","sim151","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","MILLER ZOE","175.64375","1","3"
"data.151","sim152","BILES SIMONE","MCCLAIN KONNOR","CHILES JORDAN","LINCOLN KALIYA","JONES SHILESE","173.52425","1","3"
"data.152","sim153","BILES SIMONE","SUMANASEKERA TIANA","JONES SHILESE","MILLER ZOE","CAREY JADE","173.956","1","3"
"data.153","sim154","BILES SIMONE","SUMANASEKERA TIANA","JONES SHILESE","MILLER ZOE","ROBERSON JOSCELYN","172.229","1","3"
"data.154","sim155","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","BLAKELY SKYE","CAREY JADE","173.5635","1","3"
"data.155","sim156","BILES SIMONE","MCCLAIN KONNOR","LINCOLN KALIYA","JONES SHILESE","MILLER ZOE","173.5635","1","3"
"data.156","sim157","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","JONES SHILESE","CAREY JADE","174.113","1","3"
"data.157","sim158","BILES SIMONE","MCCLAIN KONNOR","CHILES JORDAN","JONES SHILESE","BLAKELY SKYE","173.44575","1","3"
"data.158","sim159","BILES SIMONE","MCCLAIN KONNOR","CHILES JORDAN","LINCOLN KALIYA","MILLER ZOE","171.40475","1","3"
"data.159","sim160","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","CAREY JADE","LINCOLN KALIYA","172.4645","1","3"
"data.160","sim161","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","BLAKELY SKYE","DISIDORE AMELIA","173.014","1","3"
"data.161","sim162","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","CHILES JORDAN","CAREY JADE","172.58225","1","3"
"data.162","sim163","BILES SIMONE","MCCLAIN KONNOR","CHILES JORDAN","JONES SHILESE","MILLER ZOE","173.171","1","3"
"data.163","sim164","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","LINCOLN KALIYA","JONES SHILESE","172.50375","1","3"
"data.164","sim165","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","LINCOLN KALIYA","JONES SHILESE","171.79725","1","3"
"data.165","sim166","BILES SIMONE","BLAKELY SKYE","CAREY JADE","JONES SHILESE","MILLER ZOE","173.5635","1","3"
"data.166","sim167","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","WONG LEANNE","173.13175","1","3"
"data.167","sim168","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","CHILES JORDAN","JONES SHILESE","174.898","1","3"
"data.168","sim169","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","ROBERSON JOSCELYN","MILLER ZOE","173.68125","1","3"
"data.169","sim170","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","BLAKELY SKYE","MILLER ZOE","173.68125","1","3"
"data.170","sim171","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","CAREY JADE","CHILES JORDAN","172.81775","1","3"
"data.171","sim172","BILES SIMONE","BLAKELY SKYE","WONG LEANNE","CAREY JADE","MILLER ZOE","173.171","1","3"
"data.172","sim173","BILES SIMONE","MCCLAIN KONNOR","JONG KATELYN","BLAKELY SKYE","JONES SHILESE","172.11125","1","3"
"data.173","sim174","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","CAREY JADE","WONG LEANNE","173.52425","1","3"
"data.174","sim175","BILES SIMONE","MCCLAIN KONNOR","SULLIVAN ASHLEE","CHILES JORDAN","JONES SHILESE","172.73925","1","3"
"data.175","sim176","BILES SIMONE","MCCLAIN KONNOR","LEW MYLI","JONES SHILESE","ZEISS LEXI","171.9935","1","3"
"data.176","sim177","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","JONES SHILESE","CAREY JADE","172.7785","1","3"
"data.177","sim178","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","BLAKELY SKYE","LINCOLN KALIYA","172.03275","1","3"
"data.178","sim179","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","CAREY JADE","DISIDORE AMELIA","173.0925","1","3"
"data.179","sim180","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","LINCOLN KALIYA","MILLER ZOE","174.54475","1","3"
"data.180","sim181","BILES SIMONE","JONES SHILESE","ROBERSON JOSCELYN","MATTHEWS NOLA","CAREY JADE","172.543","1","3"
"data.181","sim182","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","ROBERSON JOSCELYN","MILLER ZOE","172.11125","1","3"
"data.182","sim183","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","LINCOLN KALIYA","WONG LEANNE","173.21025","1","3"
"data.183","sim184","BILES SIMONE","SUMANASEKERA TIANA","ROBERSON JOSCELYN","WONG LEANNE","JONES SHILESE","172.81775","1","3"
"data.184","sim185","BILES SIMONE","MCCLAIN KONNOR","ROBERSON JOSCELYN","JONES SHILESE","MILLER ZOE","173.956","1","3"
"data.185","sim186","BILES SIMONE","MCCLAIN KONNOR","WONG LEANNE","JONES SHILESE","CAREY JADE","173.8775","1","3"
"data.186","sim187","BILES SIMONE","MCCLAIN KONNOR","CHILES JORDAN","ROBERSON JOSCELYN","JONES SHILESE","172.26825","1","3"
"data.187","sim188","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","LINCOLN KALIYA","CAREY JADE","170.69825","1","3"
"data.188","sim189","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","CHILES JORDAN","JONES SHILESE","173.52425","1","3"
"data.189","sim190","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","CHILES JORDAN","JONES SHILESE","172.26825","1","3"
"data.190","sim191","BILES SIMONE","CAREY JADE","MCCLAIN KONNOR","JONES SHILESE","WONG LEANNE","173.0925","1","3"
"data.191","sim192","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","ROBERSON JOSCELYN","JONES SHILESE","171.601","1","3"
"data.192","sim193","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","JONES SHILESE","MILLER ZOE","174.70175","1","3"
"data.193","sim194","BILES SIMONE","MCCLAIN KONNOR","SULLIVAN ASHLEE","CAREY JADE","JONES SHILESE","172.9355","1","3"
"data.194","sim195","BILES SIMONE","MCCLAIN KONNOR","ROBERSON JOSCELYN","JONES SHILESE","MILLER ZOE","173.75975","1","3"
"data.195","sim196","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","JONES SHILESE","MILLER ZOE","173.68125","1","3"
"data.196","sim197","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","JONES SHILESE","CHILES JORDAN","172.34675","1","3"
"data.197","sim198","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","ROBERSON JOSCELYN","JONES SHILESE","173.28875","1","3"
