"","Simulation","Member11","Member12","Member13","Member14","Member15","Member16","Member17","Member18","Member19","Member110","Member111","Member112","Member113","Member114","Member115","Member116","Member117","Member118","Member119","Member120","Member121","Member21","Member22","Member23","Member24","Member25","Member26","Member27","Member28","Member29","Member210","Member211","Member212","Member213","Member214","Member215","Member216","Member217","Member218","Member219","Member220","Member221","Member31","Member32","Member33","Member34","Member35","Member36","Member37","Member38","Member39","Member310","Member311","Member312","Member313","Member314","Member315","Member316","Member317","Member318","Member319","Member320","Member321","Member41","Member42","Member43","Member44","Member45","Member46","Member47","Member48","Member49","Member410","Member411","Member412","Member413","Member414","Member415","Member416","Member417","Member418","Member419","Member420","Member421","Member51","Member52","Member53","Member54","Member55","Member56","Member57","Member58","Member59","Member510","Member511","Member512","Member513","Member514","Member515","Member516","Member517","Member518","Member519","Member520","Member521","Score1","Score2","Score3","Score4","Score5","Score6","Score7","Score8","Score9","Score10","Score11","Score12","Score13","Score14","Score15","Score16","Score17","Score18","Score19","Score20","Score21"
"data.26","sim777","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","HONG ASHER","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","HONG ASHER","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","PHILLIPS CURRAN","PHILLIPS CURRAN","JUDA PAUL","HONG ASHER","MALONE BRODY","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","HONG ASHER","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","HONG ASHER","JUDA PAUL","PHILLIPS CURRAN","PHILLIPS CURRAN","SUN BLAKE","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","PHILLIPS CURRAN","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","PHILLIPS CURRAN"
"data.27","sim778","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","WALKER COLT","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","MALONE BRODY","WALKER COLT","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","WALKER COLT","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","WALKER COLT","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","MALONE BRODY","PHILLIPS CURRAN","PHILLIPS CURRAN","WALKER COLT","MALONE BRODY","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","MALONE BRODY","PHILLIPS CURRAN","YOUNG KHOI","MALONE BRODY","WALKER COLT","WALKER COLT","PHILLIPS CURRAN","WALKER COLT","MALONE BRODY","MALONE BRODY","WALKER COLT","MALONE BRODY","WALKER COLT","YOUNG KHOI","PHILLIPS CURRAN","PHILLIPS CURRAN","YOUNG KHOI","PHILLIPS CURRAN","PHILLIPS CURRAN","WALKER COLT","PHILLIPS CURRAN","MALONE BRODY","PHILLIPS CURRAN","WALKER COLT","PHILLIPS CURRAN","PHILLIPS CURRAN","YOUNG KHOI","PHILLIPS CURRAN","PHILLIPS CURRAN","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","YOUNG KHOI","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","WALKER COLT","YOUNG KHOI","WALKER COLT","WALKER COLT","YOUNG KHOI","WALKER COLT"
"data.28","sim779","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","JUDA PAUL","HONG ASHER","HONG ASHER","JUDA PAUL","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","JUDA PAUL","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","JUDA PAUL","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","MALONE BRODY","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","JUDA PAUL","HONG ASHER","HONG ASHER","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","MALONE BRODY","JUDA PAUL","HONG ASHER","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","MALONE BRODY","YOUNG KHOI","HONG ASHER","JUDA PAUL","JUDA PAUL","JUDA PAUL","HONG ASHER","HONG ASHER","HONG ASHER","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","YOUNG KHOI","JUDA PAUL","HONG ASHER","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","HONG ASHER","HONG ASHER","JUDA PAUL","MALONE BRODY","HONG ASHER","JUDA PAUL","YOUNG KHOI","HONG ASHER","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","HONG ASHER","HONG ASHER","HONG ASHER","MALONE BRODY","JUDA PAUL","JUDA PAUL","HONG ASHER","YOUNG KHOI","MALONE BRODY","HONG ASHER","YOUNG KHOI","MALONE BRODY","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN"
"data.29","sim780","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","WALKER COLT","JUDA PAUL","WALKER COLT","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","WALKER COLT","WALKER COLT","WALKER COLT","JUDA PAUL","JUDA PAUL","WHITTENBURG DONNELL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","WALKER COLT","MALONE BRODY","WALKER COLT","MALONE BRODY","MALONE BRODY","WALKER COLT","MALONE BRODY","WHITTENBURG DONNELL","WALKER COLT","MALONE BRODY","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","WALKER COLT","MALONE BRODY","MALONE BRODY","WHITTENBURG DONNELL","WALKER COLT","WALKER COLT","WALKER COLT","MALONE BRODY","WHITTENBURG DONNELL","WHITTENBURG DONNELL","MALONE BRODY","WHITTENBURG DONNELL","WALKER COLT","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WALKER COLT","MALONE BRODY","WALKER COLT","MALONE BRODY","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","WALKER COLT","WALKER COLT","PHILLIPS CURRAN","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","MALONE BRODY","PHILLIPS CURRAN","MALONE BRODY","WALKER COLT","WALKER COLT","WALKER COLT","WHITTENBURG DONNELL","WHITTENBURG DONNELL","PHILLIPS CURRAN","WHITTENBURG DONNELL","WALKER COLT","WHITTENBURG DONNELL","WALKER COLT","WALKER COLT","PHILLIPS CURRAN","WALKER COLT","PHILLIPS CURRAN","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","YOUNG KHOI","WHITTENBURG DONNELL","WHITTENBURG DONNELL"
"data.30","sim781","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","MALONE BRODY","MALONE BRODY","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","MALONE BRODY","HONG ASHER","MALONE BRODY","HONG ASHER","MALONE BRODY","MALONE BRODY","HONG ASHER","HONG ASHER","MALONE BRODY","MALONE BRODY","HONG ASHER","HONG ASHER","HONG ASHER","MALONE BRODY","MALONE BRODY","MALONE BRODY","HONG ASHER","HONG ASHER","HONG ASHER","MALONE BRODY","HONG ASHER","HONG ASHER","PHILLIPS CURRAN","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","PHILLIPS CURRAN","HONG ASHER","WALKER COLT","MALONE BRODY","HONG ASHER","MALONE BRODY","MALONE BRODY","HONG ASHER","HONG ASHER","HONG ASHER","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","WALKER COLT","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","MALONE BRODY","PHILLIPS CURRAN","MALONE BRODY","PHILLIPS CURRAN","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","WALKER COLT","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","MALONE BRODY","WALKER COLT","SUN BLAKE","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","WALKER COLT","PHILLIPS CURRAN","WALKER COLT","WALKER COLT","PHILLIPS CURRAN","WALKER COLT","PHILLIPS CURRAN","PHILLIPS CURRAN","WALKER COLT","SUN BLAKE","WALKER COLT","WALKER COLT","SUN BLAKE","PHILLIPS CURRAN","MALONE BRODY","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","WALKER COLT","SUN BLAKE","WALKER COLT","WALKER COLT","SUN BLAKE","PHILLIPS CURRAN","WALKER COLT","SUN BLAKE","WALKER COLT","SUN BLAKE","WALKER COLT","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","WALKER COLT"
"data.31","sim782","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","MALONE BRODY","HONG ASHER","MALONE BRODY","MALONE BRODY","MALONE BRODY","HONG ASHER","HONG ASHER","PHILLIPS CURRAN","HONG ASHER","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","MALONE BRODY","JUDA PAUL","PHILLIPS CURRAN","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","PHILLIPS CURRAN","PHILLIPS CURRAN","WALKER COLT","JUDA PAUL","JUDA PAUL","WALKER COLT","PHILLIPS CURRAN","WALKER COLT","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","JUDA PAUL","WALKER COLT","JUDA PAUL","JUDA PAUL","SUN BLAKE","SUN BLAKE","WALKER COLT","SUN BLAKE","WALKER COLT","SUN BLAKE","WALKER COLT","WALKER COLT","WALKER COLT","SUN BLAKE","SUN BLAKE","SUN BLAKE","SUN BLAKE","SUN BLAKE","SUN BLAKE","NEDOROSCIK STEPHEN","SUN BLAKE","WALKER COLT","SUN BLAKE","NEDOROSCIK STEPHEN","SUN BLAKE","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","SUN BLAKE","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","SUN BLAKE","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","256.3025","256.067","255.6745","255.2035","255.0465","254.811","254.811","254.811","254.45775","253.6335","253.43725","252.927","252.6915","252.6915","251.94575","171.32625","171.24775","171.13","169.12825","168.932","168.42175"
"data.32","sim783","HONG ASHER","HONG ASHER","HONG ASHER","JUDA PAUL","HONG ASHER","HONG ASHER","JUDA PAUL","HONG ASHER","JUDA PAUL","HONG ASHER","JUDA PAUL","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","MALONE BRODY","JUDA PAUL","HONG ASHER","HONG ASHER","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","PHILLIPS CURRAN","JUDA PAUL","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","MALONE BRODY","WALKER COLT","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","MALONE BRODY","PHILLIPS CURRAN","WALKER COLT","PHILLIPS CURRAN","WALKER COLT","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","WALKER COLT","WALKER COLT","PHILLIPS CURRAN","WALKER COLT","WHITTENBURG DONNELL","WALKER COLT","PHILLIPS CURRAN","WHITTENBURG DONNELL","WALKER COLT","PHILLIPS CURRAN","WALKER COLT","PHILLIPS CURRAN","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WALKER COLT","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WALKER COLT","WALKER COLT","WALKER COLT","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WALKER COLT","WHITTENBURG DONNELL","YOUNG KHOI","YOUNG KHOI","YOUNG KHOI","YOUNG KHOI","WHITTENBURG DONNELL","WHITTENBURG DONNELL","YOUNG KHOI","WALKER COLT","YOUNG KHOI","YOUNG KHOI","WHITTENBURG DONNELL","YOUNG KHOI","YOUNG KHOI","YOUNG KHOI","YOUNG KHOI","YOUNG KHOI","WHITTENBURG DONNELL","YOUNG KHOI","YOUNG KHOI","WHITTENBURG DONNELL","YOUNG KHOI","256.57725","256.49875","255.9885","255.439","255.39975","255.3605","254.85025","254.654","254.61475","254.497","254.026","253.712","253.712","253.398","253.28025","253.241","252.456","252.3775","252.0635","251.94575","250.8075"
"data.33","sim784","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","PHILLIPS CURRAN","MALONE BRODY","JUDA PAUL","JUDA PAUL","HONG ASHER","JUDA PAUL","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","JUDA PAUL","HONG ASHER","PHILLIPS CURRAN","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","MALONE BRODY","HONG ASHER","WALKER COLT","PHILLIPS CURRAN","PHILLIPS CURRAN","HONG ASHER","MALONE BRODY","HONG ASHER","MALONE BRODY","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","MALONE BRODY","HONG ASHER","PHILLIPS CURRAN","HONG ASHER","PHILLIPS CURRAN","WALKER COLT","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","MALONE BRODY","WALKER COLT","PHILLIPS CURRAN","HONG ASHER","WALKER COLT","HONG ASHER","PHILLIPS CURRAN","HONG ASHER","PHILLIPS CURRAN","PHILLIPS CURRAN","HONG ASHER","PHILLIPS CURRAN","HONG ASHER","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","WALKER COLT","WALKER COLT","HONG ASHER","HONG ASHER","WALKER COLT","PHILLIPS CURRAN","WALKER COLT","YOUNG KHOI","HONG ASHER","HONG ASHER","YOUNG KHOI","HONG ASHER","WALKER COLT","HONG ASHER"
"data.34","sim785","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","WALKER COLT","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","WALKER COLT","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","YOUNG KHOI","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","WALKER COLT","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","JUDA PAUL","PHILLIPS CURRAN","MALONE BRODY","WALKER COLT","MALONE BRODY","WALKER COLT","PHILLIPS CURRAN","PHILLIPS CURRAN","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","PHILLIPS CURRAN","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN"
"data.35","sim786","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","YOUNG KHOI","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","YOUNG KHOI","MALONE BRODY","MALONE BRODY","YOUNG KHOI","YOUNG KHOI","MALONE BRODY","YOUNG KHOI","YOUNG KHOI","MALONE BRODY","MALONE BRODY","YOUNG KHOI","MALONE BRODY","HONG ASHER","HONG ASHER","HONG ASHER","MALONE BRODY","MALONE BRODY","YOUNG KHOI","YOUNG KHOI","YOUNG KHOI","YOUNG KHOI","HONG ASHER","YOUNG KHOI","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","YOUNG KHOI","HONG ASHER","HONG ASHER","YOUNG KHOI","WALKER COLT","WALKER COLT","WALKER COLT","YOUNG KHOI","WALKER COLT","WALKER COLT","WALKER COLT","HONG ASHER","HONG ASHER","WALKER COLT","HONG ASHER","WALKER COLT","WALKER COLT","WALKER COLT","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","WALKER COLT","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","256.18475","255.87075","255.63525","255.439","255.439","255.0465","254.7325","254.654","254.61475","254.61475","254.5755","254.37925","254.37925","253.98675","253.9475","253.75125","253.712","253.3195","253.20175","253.0055","253.0055"
"data.36","sim787","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","JUDA PAUL","HONG ASHER","JUDA PAUL","PHILLIPS CURRAN","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","HONG ASHER","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","HONG ASHER","MALONE BRODY","HONG ASHER","PHILLIPS CURRAN","MALONE BRODY","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","MALONE BRODY","HONG ASHER","WALKER COLT","PHILLIPS CURRAN","PHILLIPS CURRAN","HONG ASHER","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","HONG ASHER","MALONE BRODY","HONG ASHER","PHILLIPS CURRAN","WALKER COLT","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","HONG ASHER","HONG ASHER","PHILLIPS CURRAN","WALKER COLT","PHILLIPS CURRAN","HONG ASHER","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","WALKER COLT","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","WALKER COLT","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","HONG ASHER","HONG ASHER","HONG ASHER","PHILLIPS CURRAN","PHILLIPS CURRAN","WALKER COLT","WALKER COLT","HONG ASHER"
