"","Combo","BB_Result","FX_Result","UB_Result","VT_Result","AllAround_Result","Total_Result"
"56","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, BOOTH CHARLOTTE, CAREY JADE",2.761,2.98,0.103,2.719,3.466,12.029
"57","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, BOOTH CHARLOTTE, LINCOLN KALIYA",2.761,3.148,0.103,2.12,3.466,11.598
"58","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, BOOTH CHARLOTTE, CHILES JORDAN",2.761,2.902,0.103,2.12,3.466,11.352
"59","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, BOOTH CHARLOTTE, ROSEN KATELYN",2.761,2.834,0.103,2.12,3.466,11.284
"60","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, BOOTH CHARLOTTE, MILLER ZOE",2.761,2.834,0.418,2.12,3.466,11.599
"61","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, BOOTH CHARLOTTE, MATTHEWS NOLA",2.761,2.834,0.103,2.12,3.466,11.284
"62","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, BOOTH CHARLOTTE, DIAZ STELLA",2.761,2.834,0.103,2.12,3.466,11.284
"63","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, BOOTH CHARLOTTE, DISIDORE AMELIA",2.761,2.834,0.103,2.12,3.466,11.284
"64","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, CAREY JADE, LINCOLN KALIYA",2.761,3.148,0.103,2.719,3.466,12.197
"65","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, CAREY JADE, CHILES JORDAN",2.761,2.98,0.103,2.719,3.466,12.029
"66","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, CAREY JADE, ROSEN KATELYN",2.761,2.98,0.103,2.719,3.466,12.029
"67","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, CAREY JADE, MILLER ZOE",2.761,2.98,0.418,2.719,3.466,12.344
"68","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, CAREY JADE, MATTHEWS NOLA",2.761,2.98,0.103,2.719,3.466,12.029
"69","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, CAREY JADE, DIAZ STELLA",2.761,2.98,0.103,2.719,3.466,12.029
"70","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, CAREY JADE, DISIDORE AMELIA",2.761,2.98,0.103,2.719,3.466,12.029
"71","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, LINCOLN KALIYA, CHILES JORDAN",2.761,3.148,0.103,2.12,3.466,11.598
"72","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, LINCOLN KALIYA, ROSEN KATELYN",2.761,3.148,0.103,2.12,3.466,11.598
"73","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, LINCOLN KALIYA, MILLER ZOE",2.761,3.148,0.418,2.12,3.466,11.913
"74","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, LINCOLN KALIYA, MATTHEWS NOLA",2.761,3.148,0.103,2.12,3.466,11.598
"75","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, LINCOLN KALIYA, DIAZ STELLA",2.761,3.148,0.103,2.12,3.466,11.598
"76","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, LINCOLN KALIYA, DISIDORE AMELIA",2.761,3.148,0.103,2.12,3.466,11.598
"77","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, CHILES JORDAN, ROSEN KATELYN",2.761,2.902,0.103,2.12,3.466,11.352
"78","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, CHILES JORDAN, MILLER ZOE",2.761,2.902,0.418,2.12,3.466,11.667
"79","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, CHILES JORDAN, MATTHEWS NOLA",2.761,2.902,0.103,2.12,3.466,11.352
"80","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, CHILES JORDAN, DIAZ STELLA",2.761,2.902,0.103,2.12,3.466,11.352
"81","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, CHILES JORDAN, DISIDORE AMELIA",2.761,2.902,0.103,2.12,3.466,11.352
"82","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, ROSEN KATELYN, MILLER ZOE",2.761,2.834,0.418,2.12,3.466,11.599
"83","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, ROSEN KATELYN, MATTHEWS NOLA",2.761,2.834,0.103,2.12,3.466,11.284
"84","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, ROSEN KATELYN, DIAZ STELLA",2.761,2.834,0.103,2.12,3.466,11.284
"85","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, ROSEN KATELYN, DISIDORE AMELIA",2.761,2.834,0.103,2.12,3.466,11.284
"86","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, MILLER ZOE, MATTHEWS NOLA",2.761,2.834,0.418,2.12,3.466,11.599
"87","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, MILLER ZOE, DIAZ STELLA",2.761,2.834,0.418,2.12,3.466,11.599
"88","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, MILLER ZOE, DISIDORE AMELIA",2.761,2.834,0.418,2.12,3.466,11.599
"89","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, MATTHEWS NOLA, DIAZ STELLA",2.761,2.834,0.103,2.12,3.466,11.284
"90","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, MATTHEWS NOLA, DISIDORE AMELIA",2.761,2.834,0.103,2.12,3.466,11.284
"91","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, DIAZ STELLA, DISIDORE AMELIA",2.761,2.834,0.103,2.12,3.466,11.284
"92","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, DISIDORE AMELIA, NA",2.761,2.834,0.103,2.12,3.466,11.284
"93","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, DISIDORE AMELIA, DISIDORE AMELIA",2.761,2.834,0.103,2.12,3.466,11.284
"94","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, ROBERSON JOSCELYN, SUMANASEKERA TIANA",2.761,2.942,0.631,2.2,3.554,12.088
"95","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, ROBERSON JOSCELYN, SULLIVAN ASHLEE",2.761,2.942,0.631,2.2,3.554,12.088
"96","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, ROBERSON JOSCELYN, WONG LEANNE",2.761,2.942,0.631,2.2,3.554,12.088
"97","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, ROBERSON JOSCELYN, BOOTH CHARLOTTE",2.761,2.942,0.631,2.2,3.554,12.088
"98","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, ROBERSON JOSCELYN, CAREY JADE",2.761,2.98,0.631,2.719,3.554,12.645
"99","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, ROBERSON JOSCELYN, LINCOLN KALIYA",2.761,3.148,0.631,2.2,3.554,12.294
"100","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, ROBERSON JOSCELYN, CHILES JORDAN",2.761,2.942,0.631,2.2,3.554,12.088
"101","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, ROBERSON JOSCELYN, ROSEN KATELYN",2.761,2.942,0.631,2.2,3.554,12.088
"102","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, ROBERSON JOSCELYN, MILLER ZOE",2.761,2.942,0.921,2.2,3.554,12.378
"103","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, ROBERSON JOSCELYN, MATTHEWS NOLA",2.761,2.942,0.631,2.2,3.554,12.088
"104","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, ROBERSON JOSCELYN, DIAZ STELLA",2.761,2.942,0.631,2.2,3.554,12.088
"105","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, ROBERSON JOSCELYN, DISIDORE AMELIA",2.761,2.942,0.631,2.2,3.554,12.088
"106","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SUMANASEKERA TIANA, SULLIVAN ASHLEE",2.761,2.942,0.631,2.2,3.554,12.088
"107","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SUMANASEKERA TIANA, WONG LEANNE",2.761,2.942,0.631,2.2,3.554,12.088
"108","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SUMANASEKERA TIANA, BOOTH CHARLOTTE",2.761,2.942,0.631,2.2,3.554,12.088
"109","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SUMANASEKERA TIANA, CAREY JADE",2.761,2.98,0.631,2.719,3.554,12.645
"110","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SUMANASEKERA TIANA, LINCOLN KALIYA",2.761,3.148,0.631,2.2,3.554,12.294
"111","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SUMANASEKERA TIANA, CHILES JORDAN",2.761,2.942,0.631,2.2,3.554,12.088
"112","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SUMANASEKERA TIANA, ROSEN KATELYN",2.761,2.942,0.631,2.2,3.554,12.088
"113","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SUMANASEKERA TIANA, MILLER ZOE",2.761,2.942,0.921,2.2,3.554,12.378
"114","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SUMANASEKERA TIANA, MATTHEWS NOLA",2.761,2.942,0.631,2.2,3.554,12.088
"115","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SUMANASEKERA TIANA, DIAZ STELLA",2.761,2.942,0.631,2.2,3.554,12.088
"116","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SUMANASEKERA TIANA, DISIDORE AMELIA",2.761,2.942,0.631,2.2,3.554,12.088
"117","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SULLIVAN ASHLEE, WONG LEANNE",2.761,2.942,0.631,2.2,3.554,12.088
"118","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SULLIVAN ASHLEE, BOOTH CHARLOTTE",2.761,2.942,0.631,2.2,3.554,12.088
"119","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SULLIVAN ASHLEE, CAREY JADE",2.761,2.98,0.631,2.719,3.554,12.645
"120","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SULLIVAN ASHLEE, LINCOLN KALIYA",2.761,3.148,0.631,2.2,3.554,12.294
"121","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SULLIVAN ASHLEE, CHILES JORDAN",2.761,2.942,0.631,2.2,3.554,12.088
"122","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SULLIVAN ASHLEE, ROSEN KATELYN",2.761,2.942,0.631,2.2,3.554,12.088
"123","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SULLIVAN ASHLEE, MILLER ZOE",2.761,2.942,0.921,2.2,3.554,12.378
"124","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SULLIVAN ASHLEE, MATTHEWS NOLA",2.761,2.942,0.631,2.2,3.554,12.088
"125","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SULLIVAN ASHLEE, DIAZ STELLA",2.761,2.942,0.631,2.2,3.554,12.088
"126","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, SULLIVAN ASHLEE, DISIDORE AMELIA",2.761,2.942,0.631,2.2,3.554,12.088
"127","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, WONG LEANNE, BOOTH CHARLOTTE",2.761,2.942,0.631,2.2,3.554,12.088
"128","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, WONG LEANNE, CAREY JADE",2.761,2.98,0.631,2.719,3.554,12.645
"129","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, WONG LEANNE, LINCOLN KALIYA",2.761,3.148,0.631,2.2,3.554,12.294
"130","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, WONG LEANNE, CHILES JORDAN",2.761,2.942,0.631,2.2,3.554,12.088
"131","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, WONG LEANNE, ROSEN KATELYN",2.761,2.942,0.631,2.2,3.554,12.088
"132","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, WONG LEANNE, MILLER ZOE",2.761,2.942,0.921,2.2,3.554,12.378
"133","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, WONG LEANNE, MATTHEWS NOLA",2.761,2.942,0.631,2.2,3.554,12.088
"134","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, WONG LEANNE, DIAZ STELLA",2.761,2.942,0.631,2.2,3.554,12.088
"135","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, WONG LEANNE, DISIDORE AMELIA",2.761,2.942,0.631,2.2,3.554,12.088
"136","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, BOOTH CHARLOTTE, CAREY JADE",2.761,2.98,0.631,2.719,3.554,12.645
"137","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, BOOTH CHARLOTTE, LINCOLN KALIYA",2.761,3.148,0.631,2.2,3.554,12.294
"138","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, BOOTH CHARLOTTE, CHILES JORDAN",2.761,2.942,0.631,2.2,3.554,12.088
"139","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, BOOTH CHARLOTTE, ROSEN KATELYN",2.761,2.942,0.631,2.2,3.554,12.088
"140","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, BOOTH CHARLOTTE, MILLER ZOE",2.761,2.942,0.921,2.2,3.554,12.378
"141","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, BOOTH CHARLOTTE, MATTHEWS NOLA",2.761,2.942,0.631,2.2,3.554,12.088
"142","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, BOOTH CHARLOTTE, DIAZ STELLA",2.761,2.942,0.631,2.2,3.554,12.088
"143","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, BOOTH CHARLOTTE, DISIDORE AMELIA",2.761,2.942,0.631,2.2,3.554,12.088
"144","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, CAREY JADE, LINCOLN KALIYA",2.761,3.148,0.631,2.719,3.554,12.813
"145","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, CAREY JADE, CHILES JORDAN",2.761,2.98,0.631,2.719,3.554,12.645
"146","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, CAREY JADE, ROSEN KATELYN",2.761,2.98,0.631,2.719,3.554,12.645
"147","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, CAREY JADE, MILLER ZOE",2.761,2.98,0.921,2.719,3.554,12.935
"148","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, CAREY JADE, MATTHEWS NOLA",2.761,2.98,0.631,2.719,3.554,12.645
"149","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, CAREY JADE, DIAZ STELLA",2.761,2.98,0.631,2.719,3.554,12.645
"150","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, CAREY JADE, DISIDORE AMELIA",2.761,2.98,0.631,2.719,3.554,12.645
"151","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, LINCOLN KALIYA, CHILES JORDAN",2.761,3.148,0.631,2.2,3.554,12.294
"152","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, LINCOLN KALIYA, ROSEN KATELYN",2.761,3.148,0.631,2.2,3.554,12.294
"153","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, LINCOLN KALIYA, MILLER ZOE",2.761,3.148,0.921,2.2,3.554,12.584
"154","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, LINCOLN KALIYA, MATTHEWS NOLA",2.761,3.148,0.631,2.2,3.554,12.294
"155","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, LINCOLN KALIYA, DIAZ STELLA",2.761,3.148,0.631,2.2,3.554,12.294
"156","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, LINCOLN KALIYA, DISIDORE AMELIA",2.761,3.148,0.631,2.2,3.554,12.294
"157","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, CHILES JORDAN, ROSEN KATELYN",2.761,2.942,0.631,2.2,3.554,12.088
"158","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, CHILES JORDAN, MILLER ZOE",2.761,2.942,0.921,2.2,3.554,12.378
"159","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, CHILES JORDAN, MATTHEWS NOLA",2.761,2.942,0.631,2.2,3.554,12.088
"160","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, CHILES JORDAN, DIAZ STELLA",2.761,2.942,0.631,2.2,3.554,12.088
"161","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, CHILES JORDAN, DISIDORE AMELIA",2.761,2.942,0.631,2.2,3.554,12.088
"162","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, ROSEN KATELYN, MILLER ZOE",2.761,2.942,0.921,2.2,3.554,12.378
"163","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, ROSEN KATELYN, MATTHEWS NOLA",2.761,2.942,0.631,2.2,3.554,12.088
"164","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, ROSEN KATELYN, DIAZ STELLA",2.761,2.942,0.631,2.2,3.554,12.088
"165","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, ROSEN KATELYN, DISIDORE AMELIA",2.761,2.942,0.631,2.2,3.554,12.088
"166","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, MILLER ZOE, MATTHEWS NOLA",2.761,2.942,0.921,2.2,3.554,12.378
"167","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, MILLER ZOE, DIAZ STELLA",2.761,2.942,0.921,2.2,3.554,12.378
"168","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, MILLER ZOE, DISIDORE AMELIA",2.761,2.942,0.921,2.2,3.554,12.378
"169","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, MATTHEWS NOLA, DIAZ STELLA",2.761,2.942,0.631,2.2,3.554,12.088
"170","BILES SIMONE, MCCLAIN KONNOR, JONES SHILESE, MATTHEWS NOLA, DISIDORE AMELIA",2.761,2.942,0.631,2.2,3.554,12.088
