X,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Year,FullName
235,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",BB,2,5.5,8.3,0,13.8,2023,ACHAMPONG ONDINE
236,w,GBR,2023-03-26,2023 British Gymnastics Championships,final,"Liverpool, England",FX,8,5.2,6.75,0,11.95,2023,ACHAMPONG ONDINE
237,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",FX,4,5.3,7.9,0,13.2,2023,ACHAMPONG ONDINE
238,w,GBR,2023-03-26,2023 British Gymnastics Championships,final,"Liverpool, England",UB,5,5.8,8.3,0,14.1,2023,ACHAMPONG ONDINE
239,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",UB,2,5.7,8,0,13.7,2023,ACHAMPONG ONDINE
240,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",VT1,16,5,NA,0,14.3,2023,ACHAMPONG ONDINE
241,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",VT2,16,NA,NA,NA,NA,2023,ACHAMPONG ONDINE
242,w,GBR,2023-04-16,2023 Senior European Championships,final,"Antalya, Turkey",BB,4,5.9,7.633,NA,13.533,2023,ACHAMPONG ONDINE
243,w,GBR,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",BB,4,5.7,7.666,NA,13.366,2023,ACHAMPONG ONDINE
244,w,GBR,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",FX,8,5.3,7.866,NA,13.166,2023,ACHAMPONG ONDINE
245,w,GBR,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",VT1,6,5,8.966,NA,13.966,2023,ACHAMPONG ONDINE
246,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",BB,4,5.7,6.8,NA,12.5,2022,ACHAMPONG ONDINE
247,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",BB,4,5.7,7.6,NA,13.3,2022,ACHAMPONG ONDINE
248,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",FX,1,5.3,8.05,NA,13.35,2022,ACHAMPONG ONDINE
249,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",FX,2,5.3,7.733,NA,13.033,2022,ACHAMPONG ONDINE
250,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",FX,11,5.3,7.25,NA,12.55,2022,ACHAMPONG ONDINE
251,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",UB,3,6,7.25,NA,13.25,2022,ACHAMPONG ONDINE
252,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",UB,4,6,7.433,NA,13.433,2022,ACHAMPONG ONDINE
253,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",UB,2,6.1,7.65,NA,13.75,2022,ACHAMPONG ONDINE
254,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",VT,1,5,8.9,NA,13.9,2022,ACHAMPONG ONDINE
472,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",BB,3,6,7.533,NA,13.533,2022,ANDRADE REBECA
473,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",BB,8,6,6.733,NA,12.733,2022,ANDRADE REBECA
474,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,8,5.8,7.6,NA,13.4,2022,ANDRADE REBECA
475,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",BB,NA,5.8,7.033,NA,12.833,2022,ANDRADE REBECA
476,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",FX,2,6.1,8.3,NA,14.4,2022,ANDRADE REBECA
477,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",FX,3,5.9,7.833,NA,13.733,2022,ANDRADE REBECA
478,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,2,6.1,8.1,NA,14.2,2022,ANDRADE REBECA
479,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",FX,NA,5.9,8.166,NA,14.066,2022,ANDRADE REBECA
480,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",UB,5,6.2,7.6,NA,13.8,2022,ANDRADE REBECA
481,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",UB,8,5.7,7.1,NA,12.8,2022,ANDRADE REBECA
482,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,3,6.1,8.566,NA,14.666,2022,ANDRADE REBECA
483,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",UB,NA,6.2,8.433,NA,14.633,2022,ANDRADE REBECA
484,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",VT,1,5.6,9.566,NA,15.166,2022,ANDRADE REBECA
485,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",VT,NA,5.6,9.566,NA,15.166,2022,ANDRADE REBECA
486,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,1,5.6,9.466,NA,15.066,2022,ANDRADE REBECA
487,w,BRA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT2,12,3,8.466,NA,11.466,2022,ANDRADE REBECA
488,w,BRA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",BB,3,6,8.3,NA,14.3,2023,ANDRADE REBECA
489,w,BRA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",BB,9,5.9,7.9,NA,13.8,2023,ANDRADE REBECA
490,w,BRA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",BB,NA,5.7,7.533,0.1,13.133,2023,ANDRADE REBECA
491,w,BRA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",FX,2,6.1,8.4,NA,14.5,2023,ANDRADE REBECA
492,w,BRA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,3,6.1,7.933,NA,14.033,2023,ANDRADE REBECA
493,w,BRA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",FX,NA,6.1,8.566,NA,14.666,2023,ANDRADE REBECA
494,w,BRA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,15,6.2,7.666,NA,13.866,2023,ANDRADE REBECA
495,w,BRA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",UB,NA,6.2,8.2,NA,14.4,2023,ANDRADE REBECA
496,w,BRA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",VT,NA,5.6,9.3,NA,14.9,2023,ANDRADE REBECA
497,w,BRA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT1,2,5.6,9.3,NA,14.9,2023,ANDRADE REBECA
498,w,BRA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",VT2,1,5,9.5,NA,14.5,2023,ANDRADE REBECA
499,w,BRA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT2,2,5,9.366,NA,14.366,2023,ANDRADE REBECA
510,w,ITA,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",BB,21,6.1,6.566,NA,12.666,2022,ANDREOLI ANGELA
511,w,ITA,2022-08-14,2022 Senior European Championships,final,"Munich, Germany",FX,3,5.8,8.066,NA,13.866,2022,ANDREOLI ANGELA
512,w,ITA,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",FX,3,5.6,8.033,NA,13.633,2022,ANDREOLI ANGELA
513,w,ITA,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",VT1,26,4.6,8.533,NA,13.133,2022,ANDREOLI ANGELA
514,w,ITA,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",VT2,13,4,8.633,NA,12.633,2022,ANDREOLI ANGELA
515,w,ITA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",BB,24,5.3,7.9,NA,13.2,2023,ANDREOLI ANGELA
516,w,ITA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",BB,NA,5.2,7.833,NA,13.033,2023,ANDREOLI ANGELA
517,w,ITA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,61,5.5,7.166,NA,12.666,2023,ANDREOLI ANGELA
518,w,ITA,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",FX,11,5.5,7.5,NA,13,2023,ANDREOLI ANGELA
519,w,ITA,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",VT1,43,4.6,8.733,0.3,13.033,2023,ANDREOLI ANGELA
520,w,ITA,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",VT2,10,3.8,8.466,NA,12.266,2023,ANDREOLI ANGELA
600,w,GBR,2022-03-27,2022 British Gymnastics Championships,final,"Liverpool, England",BB,8,5.2,5.1,0,10.3,2022,ARCHER SHANNON
601,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,5,5.2,7.3,0,12.5,2022,ARCHER SHANNON
602,w,GBR,2022-03-27,2022 British Gymnastics Championships,final,"Liverpool, England",FX,5,4.7,8.2,0,12.9,2022,ARCHER SHANNON
603,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,7,4.7,7.95,0,12.65,2022,ARCHER SHANNON
604,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,19,4.6,7.05,0,11.65,2022,ARCHER SHANNON
605,w,GBR,2022-03-27,2022 British Gymnastics Championships,final,"Liverpool, England",VT1,6,5,7.05,0.3,12.35,2022,ARCHER SHANNON
606,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",VT1,3,5,8.85,0,13.85,2022,ARCHER SHANNON
607,w,GBR,2022-03-27,2022 British Gymnastics Championships,final,"Liverpool, England",VT2,6,4.4,8.45,0,12.85,2022,ARCHER SHANNON
608,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",VT2,3,4.4,8.5,0,12.9,2022,ARCHER SHANNON
609,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",BB,3,5.2,7.5,NA,12.7,2022,ARCHER SHANNON
610,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",BB,16,5.3,6.65,NA,11.95,2022,ARCHER SHANNON
611,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",FX,13,4.6,6.9,NA,11.5,2022,ARCHER SHANNON
612,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",FX,15,4.5,7.9,NA,12.4,2022,ARCHER SHANNON
613,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",UB,12,5,6.4,NA,11.4,2022,ARCHER SHANNON
614,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",UB,8,4.8,7.566,NA,12.366,2022,ARCHER SHANNON
615,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",UB,11,4.8,7.45,NA,12.25,2022,ARCHER SHANNON
616,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",VT,3,5,8.7,NA,13.7,2022,ARCHER SHANNON
618,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",VT2,3,4.4,8.5,NA,12.9,2022,ARCHER SHANNON
619,w,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",VT2,1,4.4,8.7,NA,13.1,2022,ARCHER SHANNON
715,w,JPN,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",BB,5,5.9,8.166,NA,14.066,2023,ASHIKAWA URARA
716,w,JPN,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",BB,8,5.9,8.1,NA,14,2023,ASHIKAWA URARA
717,w,JPN,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",BB,NA,5.7,8.066,NA,13.766,2023,ASHIKAWA URARA
718,w,JPN,2023-02-26,2023 Cottbus World Cup,final,"Cottbus, Germany",BB,2,5.8,8.266,NA,14.066,2023,ASHIKAWA URARA
719,w,JPN,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",BB,4,5.5,7.633,NA,13.133,2023,ASHIKAWA URARA
720,w,JPN,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",FX,10,4.5,8.166,NA,12.666,2023,ASHIKAWA URARA
1075,w,BRA,2022-09-25,2022 Paris World Challenge Cup,qual,"Paris, France",UB,1,6.2,8.4,NA,14.6,2022,ANDRADE REBECA
1076,w,BRA,2022-09-25,2022 Paris World Challenge Cup,final,"Paris, France",UB,2,6.1,8.55,NA,14.65,2022,ANDRADE REBECA
1311,w,HUN,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,82,4.7,6.666,NA,11.366,2022,BACSKAY CSENGE
1312,w,HUN,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,123,4.1,7.433,NA,11.533,2022,BACSKAY CSENGE
1313,w,HUN,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,76,5.1,7.133,NA,12.233,2022,BACSKAY CSENGE
1314,w,HUN,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,51,4.6,8.5,NA,13.1,2022,BACSKAY CSENGE
1315,w,HUN,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT2,17,4.4,8.6,NA,13,2022,BACSKAY CSENGE
1316,w,HUN,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",BB,77,4.6,6.533,NA,11.133,2022,BACSKAY CSENGE
1317,w,HUN,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",VT1,19,4.6,8.7,NA,13.3,2022,BACSKAY CSENGE
1318,w,HUN,2022-08-14,2022 Senior European Championships,TeamFinal,"Munich, Germany",VT1,9,4.6,9.2,NA,13.8,2022,BACSKAY CSENGE
1319,w,HUN,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",VT2,9,4.4,8.7,NA,13.1,2022,BACSKAY CSENGE
1320,w,HUN,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,122,5.1,6.2,NA,11.3,2023,BACSKAY CSENGE
1321,w,HUN,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT1,23,5,8.8,NA,13.8,2023,BACSKAY CSENGE
1322,w,HUN,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",VT2,8,4.4,8.733,NA,13.133,2023,BACSKAY CSENGE
1323,w,HUN,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT2,11,4.4,8.8,NA,13.2,2023,BACSKAY CSENGE
1454,w,ROU,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",BB,10,5.6,7.133,NA,12.733,2022,BARBOSU ANA
1455,w,ROU,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,34,5.7,6.8,NA,12.5,2022,BARBOSU ANA
1456,w,ROU,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",FX,22,5.2,6.733,NA,11.933,2022,BARBOSU ANA
1457,w,ROU,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,19,5.6,7.7,NA,13.3,2022,BARBOSU ANA
1458,w,ROU,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",UB,21,5.9,6.866,NA,12.766,2022,BARBOSU ANA
1459,w,ROU,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,27,5.9,7.533,NA,13.433,2022,BARBOSU ANA
1460,w,ROU,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",VT,19,4.2,8.9,NA,13.1,2022,BARBOSU ANA
1461,w,ROU,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,57,4.2,8.8,NA,13,2022,BARBOSU ANA
1462,w,ROU,2022-08-14,2022 Senior European Championships,final,"Munich, Germany",BB,8,5.3,6.566,0.3,11.566,2022,BARBOSU ANA
1463,w,ROU,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",BB,1,5.6,7.933,NA,13.533,2022,BARBOSU ANA
1464,w,ROU,2022-08-14,2022 Senior European Championships,final,"Munich, Germany",FX,4,5.6,8.033,NA,13.633,2022,BARBOSU ANA
1465,w,ROU,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",FX,10,5.4,7.866,NA,13.266,2022,BARBOSU ANA
1466,w,ROU,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",UB,12,5.9,7.6,NA,13.5,2022,BARBOSU ANA
1467,w,ROU,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",VT1,50,4.2,8.633,0.1,12.733,2022,BARBOSU ANA
1468,w,ROU,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",BB,9,5.8,7.733,NA,13.533,2023,BARBOSU ANA
1469,w,ROU,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",BB,33,5.6,7.266,NA,12.866,2023,BARBOSU ANA
1470,w,ROU,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",FX,23,5.3,6.6,0.3,11.6,2023,BARBOSU ANA
1471,w,ROU,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,22,5.5,7.7,NA,13.2,2023,BARBOSU ANA
1472,w,ROU,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",UB,23,6.1,5.566,NA,11.666,2023,BARBOSU ANA
1473,w,ROU,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,29,6.2,7.166,NA,13.366,2023,BARBOSU ANA
1474,w,ROU,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",VT,16,4.6,8.766,NA,13.366,2023,BARBOSU ANA
1475,w,ROU,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT1,31,4.6,8.9,NA,13.5,2023,BARBOSU ANA
1476,w,ROU,2023-04-16,2023 Senior European Championships,AAfinal,"Antalya, Turkey",BB,8,5.8,7.133,NA,12.933,2023,BARBOSU ANA
1477,w,ROU,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",BB,9,5.3,7.5,NA,12.8,2023,BARBOSU ANA
1478,w,ROU,2023-04-16,2023 Senior European Championships,AAfinal,"Antalya, Turkey",FX,19,5.3,6.733,NA,12.033,2023,BARBOSU ANA
1479,w,ROU,2023-04-16,2023 Senior European Championships,final,"Antalya, Turkey",FX,7,5.5,7.3,NA,12.8,2023,BARBOSU ANA
1480,w,ROU,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",FX,7,5.5,7.733,NA,13.233,2023,BARBOSU ANA
1481,w,ROU,2023-04-16,2023 Senior European Championships,AAfinal,"Antalya, Turkey",UB,11,6,7.133,NA,13.133,2023,BARBOSU ANA
1482,w,ROU,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",UB,13,6.2,7.4,NA,13.6,2023,BARBOSU ANA
1483,w,ROU,2023-04-16,2023 Senior European Championships,AAfinal,"Antalya, Turkey",VT1,8,4.6,8.8,NA,13.4,2023,BARBOSU ANA
1484,w,ROU,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",VT1,98,4.6,7.633,0.3,11.933,2023,BARBOSU ANA
1578,w,ITA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,18,5.3,7.966,NA,13.266,2023,BELARDELLI ARIANNA
1579,w,ITA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",FX,NA,5.3,7.833,NA,13.133,2023,BELARDELLI ARIANNA
1580,w,ITA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",VT,NA,5,8.766,NA,13.766,2023,BELARDELLI ARIANNA
1581,w,ITA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT1,21,5,8.833,NA,13.833,2023,BELARDELLI ARIANNA
1582,w,ITA,2023-03-12,2023 Baku World Cup,final,"Baku, Azerbaijan",FX,2,5.3,7.8,0.3,12.8,2023,BELARDELLI ARIANNA
1583,w,ITA,2023-03-12,2023 Baku World Cup,qual,"Baku, Azerbaijan",FX,7,5.3,7.533,0.4,12.433,2023,BELARDELLI ARIANNA
