Country,FullName,Gender,Birth_Date,Notes,Active
USA,WISKUS SHANE,m,10/1/98,,Y
CHN,YANG JIAXING,m,8/15/98,,Y
CHN,YIN DEHANG,m,1/8/01,,Y
CHN,YOU HAO,m,4/26/92,,Y
USA,YOUNG KHOI,m,12/31/02,,Y
USA,YOCKERS IGNACIO,m,11/18/03,,Y
KOR,YUN JINSEONG,m,2/28/94,,Y
CAN,ZAKUTNEY SAM,m,10/6/98,,Y
CHN,ZHANG BOHENG,m,3/4/00,,Y
CHN,ZOU JINGYUAN,m,1/3/98,,Y
BRA,ZANETTI ARTHUR,m,4/16/90,,Y
TUR,OENDER AHMET,m,7/11/96,,Y
ARM,DAVTYAN ARTUR,m,8/8/92,,Y
ISR,DOLGOPYAT ARTEM,m,6/16/97,,Y
KAZ,KARIMI MILAD,m,6/21/99,,Y
HUN,MESZAROS KRISZTOFER,m,9/5/01,,Y
ROU,MUNTEAN ANDREI,m,1/30/93,,Y
