"","Gender","Country","Date","Competition","Round","Location","Apparatus","Rank","D_Score","E_Score","Penalty","Score","Year","FullName"
"40","m","ESP",2023-04-16,"2023 Senior European Championships","qual","Antalya, Turkey","FX",94,4.6,8,0.1,12.5,"2023","ABAD NESTOR"
"41","m","ESP",2023-04-16,"2023 Senior European Championships","AAfinal","Antalya, Turkey","HB",9,5.3,8.1,NA,13.4,"2023","ABAD NESTOR"
"42","m","ESP",2023-04-16,"2023 Senior European Championships","final","Antalya, Turkey","HB",4,5.3,8.366,NA,13.666,"2023","ABAD NESTOR"
"43","m","ESP",2023-04-16,"2023 Senior European Championships","qual","Antalya, Turkey","HB",5,5.3,8.433,NA,13.733,"2023","ABAD NESTOR"
"44","m","ESP",2023-04-16,"2023 Senior European Championships","AAfinal","Antalya, Turkey","PB",10,5.8,8.033,NA,13.833,"2023","ABAD NESTOR"
"45","m","ESP",2023-04-16,"2023 Senior European Championships","qual","Antalya, Turkey","PB",23,5.8,8.1,NA,13.9,"2023","ABAD NESTOR"
"46","m","ESP",2023-04-16,"2023 Senior European Championships","AAfinal","Antalya, Turkey","PH",12,4.7,8.3,NA,13,"2023","ABAD NESTOR"
"47","m","ESP",2023-04-16,"2023 Senior European Championships","qual","Antalya, Turkey","PH",28,5,8.233,NA,13.233,"2023","ABAD NESTOR"
"48","m","ESP",2023-04-16,"2023 Senior European Championships","qual","Antalya, Turkey","SR",17,5.3,8.466,NA,13.766,"2023","ABAD NESTOR"
"49","m","ESP",2023-04-16,"2023 Senior European Championships","AAfinal","Antalya, Turkey","SR",4,5.3,8.366,NA,13.666,"2023","ABAD NESTOR"
"50","m","ESP",2023-04-16,"2023 Senior European Championships","AAfinal","Antalya, Turkey","VT1",22,5.2,7.9,0.1,13,"2023","ABAD NESTOR"
"51","m","ESP",2023-04-16,"2023 Senior European Championships","qual","Antalya, Turkey","VT1",69,4.8,9,0.1,13.7,"2023","ABAD NESTOR"
"52","m","ITA",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","FX",17,5.1,8.466,NA,13.566,"2022","ABBADINI YUMIN"
"53","m","ITA",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",34,5.1,8.566,NA,13.666,"2022","ABBADINI YUMIN"
"54","m","ITA",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","TeamFinal","Liverpool, England","FX",NA,5.1,8.633,NA,13.733,"2022","ABBADINI YUMIN"
"55","m","ITA",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","HB",24,5.1,5.1,0.3,9.9,"2022","ABBADINI YUMIN"
"56","m","ITA",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",27,5.6,8,NA,13.6,"2022","ABBADINI YUMIN"
"57","m","ITA",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","TeamFinal","Liverpool, England","HB",NA,5.6,8.033,NA,13.633,"2022","ABBADINI YUMIN"
"58","m","ITA",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PB",20,5.3,7.766,NA,13.066,"2022","ABBADINI YUMIN"
"59","m","ITA",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",52,5.3,8.4,NA,13.7,"2022","ABBADINI YUMIN"
"60","m","ITA",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PH",7,5.5,8.166,NA,13.666,"2022","ABBADINI YUMIN"
"61","m","ITA",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",15,5.5,8.466,NA,13.966,"2022","ABBADINI YUMIN"
"62","m","ITA",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","TeamFinal","Liverpool, England","PH",NA,5.5,6.8,NA,12.3,"2022","ABBADINI YUMIN"
"63","m","ITA",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","SR",13,4.7,8.466,NA,13.166,"2022","ABBADINI YUMIN"
"64","m","ITA",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","SR",60,4.7,8.3,NA,13,"2022","ABBADINI YUMIN"
"65","m","ITA",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","TeamFinal","Liverpool, England","SR",NA,4.7,8.333,NA,13.033,"2022","ABBADINI YUMIN"
"66","m","ITA",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","VT",18,4.8,9.066,NA,13.866,"2022","ABBADINI YUMIN"
"67","m","ITA",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT1",84,4.8,8.9,0.1,13.6,"2022","ABBADINI YUMIN"
"68","m","ITA",2022-08-21,"2022 Senior European Championships","qual","Munich, Germany","FX",19,5.4,8.433,NA,13.833,"2022","ABBADINI YUMIN"
"69","m","ITA",2022-08-21,"2022 Senior European Championships","qual","Munich, Germany","HB",11,5.6,8.2,NA,13.8,"2022","ABBADINI YUMIN"
"70","m","ITA",2022-08-21,"2022 Senior European Championships","TeamFinal","Munich, Germany","HB",6,5.6,8.166,NA,13.766,"2022","ABBADINI YUMIN"
"71","m","ITA",2022-08-21,"2022 Senior European Championships","qual","Munich, Germany","PB",91,4.7,7.333,NA,12.033,"2022","ABBADINI YUMIN"
"72","m","ITA",2022-08-21,"2022 Senior European Championships","qual","Munich, Germany","PH",61,5,7.533,NA,12.533,"2022","ABBADINI YUMIN"
"73","m","ITA",2022-08-21,"2022 Senior European Championships","TeamFinal","Munich, Germany","PH",5,5.5,8.333,NA,13.833,"2022","ABBADINI YUMIN"
"74","m","ITA",2022-08-21,"2022 Senior European Championships","TeamFinal","Munich, Germany","SR",13,5,8.366,NA,13.366,"2022","ABBADINI YUMIN"
"75","m","ITA",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","AAfinal","Antwerp, Belgium","FX",8,5.4,8.466,NA,13.866,"2023","ABBADINI YUMIN"
"76","m","ITA",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","FX",64,5.4,8.433,0.3,13.533,"2023","ABBADINI YUMIN"
"77","m","ITA",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","TeamFinal","Antwerp, Belgium","FX",NA,5.4,8.5,NA,13.9,"2023","ABBADINI YUMIN"
"78","m","ITA",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","AAfinal","Antwerp, Belgium","HB",6,5.9,8.133,NA,14.033,"2023","ABBADINI YUMIN"
"79","m","ITA",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","HB",11,5.9,8.133,NA,14.033,"2023","ABBADINI YUMIN"
"80","m","ITA",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","TeamFinal","Antwerp, Belgium","HB",NA,5.9,8.133,NA,14.033,"2023","ABBADINI YUMIN"
"81","m","ITA",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","AAfinal","Antwerp, Belgium","PB",13,5.5,8.433,NA,13.933,"2023","ABBADINI YUMIN"
"82","m","ITA",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","PB",41,5.5,8.5,NA,14,"2023","ABBADINI YUMIN"
"83","m","ITA",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","AAfinal","Antwerp, Belgium","PH",4,5.5,8.3,NA,13.8,"2023","ABBADINI YUMIN"
"84","m","ITA",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","PH",40,5.8,7.7,NA,13.5,"2023","ABBADINI YUMIN"
"85","m","ITA",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","TeamFinal","Antwerp, Belgium","PH",NA,5.8,6.933,NA,12.733,"2023","ABBADINI YUMIN"
"86","m","ITA",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","AAfinal","Antwerp, Belgium","SR",10,4.7,8.6,NA,13.3,"2023","ABBADINI YUMIN"
"87","m","ITA",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","SR",41,4.7,8.8,NA,13.5,"2023","ABBADINI YUMIN"
"88","m","ITA",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","TeamFinal","Antwerp, Belgium","SR",NA,4.7,8.566,NA,13.266,"2023","ABBADINI YUMIN"
"89","m","ITA",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","AAfinal","Antwerp, Belgium","VT",18,4.8,9.1,NA,13.9,"2023","ABBADINI YUMIN"
"90","m","ITA",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","VT1",80,4.8,9.166,NA,13.966,"2023","ABBADINI YUMIN"
"91","m","ITA",2023-03-12,"2023 Baku World Cup","qual","Baku, Azerbaijan","FX",11,5.5,8.033,NA,13.533,"2023","ABBADINI YUMIN"
"92","m","ITA",2023-03-12,"2023 Baku World Cup","qual","Baku, Azerbaijan","HB",10,5.3,8.233,NA,13.533,"2023","ABBADINI YUMIN"
"93","m","ITA",2023-03-12,"2023 Baku World Cup","qual","Baku, Azerbaijan","PH",15,6.4,7.033,NA,13.433,"2023","ABBADINI YUMIN"
"94","m","ITA",2023-04-16,"2023 Senior European Championships","AAfinal","Antalya, Turkey","FX",11,5.5,8.266,NA,13.766,"2023","ABBADINI YUMIN"
"95","m","ITA",2023-04-16,"2023 Senior European Championships","qual","Antalya, Turkey","FX",11,5.5,8.466,NA,13.966,"2023","ABBADINI YUMIN"
"96","m","ITA",2023-04-16,"2023 Senior European Championships","AAfinal","Antalya, Turkey","HB",4,5.3,8.166,NA,13.466,"2023","ABBADINI YUMIN"
"97","m","ITA",2023-04-16,"2023 Senior European Championships","qual","Antalya, Turkey","HB",90,5.3,6.833,NA,12.133,"2023","ABBADINI YUMIN"
"98","m","ITA",2023-04-16,"2023 Senior European Championships","AAfinal","Antalya, Turkey","PB",8,5.3,8.7,NA,14,"2023","ABBADINI YUMIN"
"99","m","ITA",2023-04-16,"2023 Senior European Championships","qual","Antalya, Turkey","PB",40,5.3,8.2,NA,13.5,"2023","ABBADINI YUMIN"
"100","m","ITA",2023-04-16,"2023 Senior European Championships","AAfinal","Antalya, Turkey","PH",1,5.7,8.4,NA,14.1,"2023","ABBADINI YUMIN"
"101","m","ITA",2023-04-16,"2023 Senior European Championships","final","Antalya, Turkey","PH",6,5.7,8.466,NA,14.166,"2023","ABBADINI YUMIN"
"102","m","ITA",2023-04-16,"2023 Senior European Championships","qual","Antalya, Turkey","PH",6,5.7,8.566,NA,14.266,"2023","ABBADINI YUMIN"
"103","m","ITA",2023-04-16,"2023 Senior European Championships","qual","Antalya, Turkey","SR",26,4.7,8.8,NA,13.5,"2023","ABBADINI YUMIN"
"104","m","ITA",2023-04-16,"2023 Senior European Championships","AAfinal","Antalya, Turkey","SR",10,4.7,8.566,NA,13.266,"2023","ABBADINI YUMIN"
"105","m","ITA",2023-04-16,"2023 Senior European Championships","AAfinal","Antalya, Turkey","VT1",18,4.8,8.866,0.1,13.566,"2023","ABBADINI YUMIN"
"106","m","ITA",2023-04-16,"2023 Senior European Championships","qual","Antalya, Turkey","VT1",64,4.8,8.933,NA,13.733,"2023","ABBADINI YUMIN"
"107","m","EGY",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",113,5.2,7.2,0.4,12,"2022","ABDELHALEEM ABDELRAHMAN"
"108","m","EGY",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",68,4.6,8.166,NA,12.766,"2022","ABDELHALEEM ABDELRAHMAN"
"109","m","EGY",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",122,4.3,8.1,NA,12.4,"2022","ABDELHALEEM ABDELRAHMAN"
"110","m","EGY",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",55,5.2,7.566,NA,12.766,"2022","ABDELHALEEM ABDELRAHMAN"
"111","m","EGY",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT1",NA,NA,NA,NA,NA,"2022","ABDELHALEEM ABDELRAHMAN"
"112","m","EGY",2023-04-30,"2023 Cairo World Cup","qual","Cairo, Egypt","PH",9,5.6,8.5,NA,14.1,"2023","ABDELHALEEM ABDELRAHMAN"
"113","m","EGY",2023-03-12,"2023 Baku World Cup","qual","Baku, Azerbaijan","PH",21,5.8,7.266,NA,13.066,"2023","ABDELHALEEM ABDELRAHMAN"
"114","m","EGY",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",116,5.4,7.433,0.9,11.933,"2022","ABDELRAHMAN AHMED"
"115","m","EGY",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",61,4.4,8.566,NA,12.966,"2022","ABDELRAHMAN AHMED"
"116","m","EGY",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",92,5.2,7.8,NA,13,"2022","ABDELRAHMAN AHMED"
"117","m","EGY",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",37,4.9,8.266,NA,13.166,"2022","ABDELRAHMAN AHMED"
"118","m","EGY",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","SR",NA,NA,NA,NA,NA,"2022","ABDELRAHMAN AHMED"
"119","m","EGY",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT1",50,5.2,8.766,NA,13.966,"2022","ABDELRAHMAN AHMED"
"120","m","EGY",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","FX",117,5.3,7.366,0.1,12.566,"2023","ABDELRAHMAN AHMED"
"121","m","EGY",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","HB",82,4.4,8.4,NA,12.8,"2023","ABDELRAHMAN AHMED"
"122","m","EGY",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","PB",132,4.3,7.466,NA,11.766,"2023","ABDELRAHMAN AHMED"
"123","m","EGY",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","PH",94,4.2,8.066,NA,12.266,"2023","ABDELRAHMAN AHMED"
"124","m","EGY",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","VT1",59,5.2,8.933,NA,14.133,"2023","ABDELRAHMAN AHMED"
"125","m","EGY",2023-03-12,"2023 Baku World Cup","qual","Baku, Azerbaijan","FX",33,5.1,7.266,0.3,12.066,"2023","ABDELRAHMAN AHMED"
"126","m","EGY",2023-03-12,"2023 Baku World Cup","qual","Baku, Azerbaijan","PB",12,5.2,8.266,NA,13.466,"2023","ABDELRAHMAN AHMED"
"127","m","EGY",2023-03-12,"2023 Baku World Cup","qual","Baku, Azerbaijan","PH",36,4.7,7.366,NA,12.066,"2023","ABDELRAHMAN AHMED"
"128","m","EGY",2023-04-30,"2023 Cairo World Cup","qual","Cairo, Egypt","FX",38,5.2,6.333,NA,0.4,"2023","ABDELRAHMAN AHMED"
"129","m","EGY",2023-04-30,"2023 Cairo World Cup","qual","Cairo, Egypt","VT1",17,5.6,7.833,NA,13.433,"2023","ABDELRAHMAN AHMED"
"130","m","EGY",2023-04-30,"2023 Cairo World Cup","qual","Cairo, Egypt","VT2",17,5.2,7.9,NA,13.1,"2023","ABDELRAHMAN AHMED"
"131","m","EGY",2023-03-12,"2023 Baku World Cup","qual","Baku, Azerbaijan","VT1",NA,5.2,8.166,NA,13.366,"2023","ABDELRAHMAN AHMED"
"132","m","EGY",2023-03-12,"2023 Baku World Cup","qual","Baku, Azerbaijan","VT2",NA,NA,NA,NA,NA,"2023","ABDELRAHMAN AHMED"
"133","w","EGY",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","BB",100,4.8,6.2,NA,11,"2022","ABDELSALAM JANA"
"134","w","EGY",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",109,4.4,7.466,0.1,11.766,"2022","ABDELSALAM JANA"
"135","w","EGY",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","UB",52,4.8,8,NA,12.8,"2022","ABDELSALAM JANA"
"136","w","EGY",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT1",110,4.2,8.433,0.3,12.333,"2022","ABDELSALAM JANA"
"137","w","EGY",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","BB",144,4.8,5.866,NA,10.666,"2023","ABDELSALAM JANA"
"138","w","EGY",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","FX",131,4.5,7.2,0.3,11.4,"2023","ABDELSALAM JANA"
"139","w","EGY",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","UB",152,3.8,4.433,NA,8.233,"2023","ABDELSALAM JANA"
"140","w","EGY",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","VT1",131,4.2,8.5,0.3,12.4,"2023","ABDELSALAM JANA"
"141","w","EGY",2023-03-12,"2023 Baku World Cup","qual","Baku, Azerbaijan","BB",22,4.8,6.733,NA,11.533,"2023","ABDELSALAM JANA"
"142","w","EGY",2023-03-12,"2023 Baku World Cup","qual","Baku, Azerbaijan","FX",22,4.5,7.366,NA,11.866,"2023","ABDELSALAM JANA"
"143","w","EGY",2023-04-30,"2023 Cairo World Cup","final","Cairo, Egypt","BB",8,4.8,6.566,NA,11.366,"2023","ABDELSALAM JANA"
"144","w","EGY",2023-04-30,"2023 Cairo World Cup","qual","Cairo, Egypt","BB",9,4.7,7.466,NA,12.166,"2023","ABDELSALAM JANA"
"145","w","EGY",2023-04-30,"2023 Cairo World Cup","qual","Cairo, Egypt","UB",29,4.5,6.266,NA,10.766,"2023","ABDELSALAM JANA"
"146","w","EGY",2023-03-04,"2023 Doha World Cup","final","Doha, Qatar","BB",4,5,8,NA,13,"2023","ABDELSALAM JANA"
"147","w","EGY",2023-03-04,"2023 Doha World Cup","qual","Doha, Qatar","BB",6,5,7.933,NA,12.933,"2023","ABDELSALAM JANA"
"148","w","EGY",2023-03-04,"2023 Doha World Cup","qual","Doha, Qatar","UB",21,3.8,5.533,NA,9.333,"2023","ABDELSALAM JANA"
"149","m","MAS",2023-02-26,"2023 Cottbus World Cup","qual","Cottbus, Germany","SR",46,4.8,5.133,NA,9.933,"2023","ABDULLAH ALLY"
"150","w","GBR",2022-03-27,"2022 British Gymnastics Championships","qual","Liverpool, England","BB",41,3.7,6.5,0,10.2,"2022","ABDULLAHI AYESHA"
"151","w","GBR",2022-03-27,"2022 British Gymnastics Championships","qual","Liverpool, England","UB",45,3.5,6.7,0,10.2,"2022","ABDULLAHI AYESHA"
"152","m","UZB",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",39,4.6,8.666,NA,13.266,"2022","ABDURAKHIMOV RASULJON"
"153","m","UZB",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",28,6,8.233,NA,14.233,"2022","ABDURAKHIMOV RASULJON"
"154","m","UZB",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","HB",44,4.6,8.666,NA,13.266,"2023","ABDURAKHIMOV RASULJON"
"155","m","UZB",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","PB",96,5.5,7.5,NA,13,"2023","ABDURAKHIMOV RASULJON"
"156","m","UZB",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","PH",137,3.9,6.2,NA,10.1,"2023","ABDURAKHIMOV RASULJON"
"157","m","UZB",2023-03-12,"2023 Baku World Cup","qual","Baku, Azerbaijan","HB",27,4.5,8.033,NA,12.533,"2023","ABDURAKHIMOV RASULJON"
"158","m","UZB",2023-03-12,"2023 Baku World Cup","final","Baku, Azerbaijan","PB",7,5.9,8.366,NA,14.266,"2023","ABDURAKHIMOV RASULJON"
"159","m","UZB",2023-03-12,"2023 Baku World Cup","qual","Baku, Azerbaijan","PB",8,5.9,8.366,NA,14.266,"2023","ABDURAKHIMOV RASULJON"
"160","m","UZB",2023-05-28,"2023 Varna World Challenge Cup","final","Varna, Bulgaria","HB",8,4.3,8,0,12.3,"2023","ABDURAKHIMOV RASULJON"
"161","m","UZB",2023-05-28,"2023 Varna World Challenge Cup","qual","Varna, Bulgaria","HB",5,4.6,8.75,0,13.35,"2023","ABDURAKHIMOV RASULJON"
"162","m","UZB",2023-05-28,"2023 Varna World Challenge Cup","final","Varna, Bulgaria","PB",1,5.5,8.733,0,14.23,"2023","ABDURAKHIMOV RASULJON"
