X,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Year,FullName
929,m,ESP,2023-06-04,2023 Tel Aviv World Challenge Cup,final,"Tel Aviv, Israel",HB,1,5.3,8.5,NA,13.8,2023,ABAD NESTOR
930,m,ESP,2023-06-04,2023 Tel Aviv World Challenge Cup,qual,"Tel Aviv, Israel",HB,1,5.3,8.35,NA,13.65,2023,ABAD NESTOR
932,m,ESP,2023-06-04,2023 Tel Aviv World Challenge Cup,qual,"Tel Aviv, Israel",SR,2,5.7,8.35,NA,14.05,2023,ABAD NESTOR
933,m,ESP,2023-06-04,2023 Tel Aviv World Challenge Cup,final,"Tel Aviv, Israel",SR,2,5.7,8.3,NA,14,2023,ABAD NESTOR
1031,m,USA,2023-08-06,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",FX,5,5,9.3,NA,14.3,2023,ALFONSO JAVIER
1033,m,USA,2023-08-06,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",SR,3,5.6,8.6,NA,14.2,2023,ALFONSO JAVIER
1042,m,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",SR,3,5.6,8.55,NA,14.15,2023,ALFONSO JAVIER
1106,m,TUR,2022-04-03,2022 Baku World Cup,final,"Baku, Azerbaijan",PB,2,6.5,8.4,NA,14.9,2022,ARICAN FERHAT
1107,m,TUR,2022-04-03,2022 Baku World Cup,qual,"Baku, Azerbaijan",PB,1,6.5,8.6,NA,15.1,2022,ARICAN FERHAT
1109,m,TUR,2022-03-20,2022 Cairo World Cup,qual,"Cairo, Egypt",PB,3,6.5,7.9,NA,14.4,2022,ARICAN FERHAT
1110,m,TUR,2022-03-20,2022 Cairo World Cup,final,"Cairo, Egypt",PB,2,6.5,8.3,NA,14.8,2022,ARICAN FERHAT
1113,m,TUR,2022-10-09,2022 Mersin World Challenge Cup,final,"Mersin, Turkey",PB,1,6.6,8.2,NA,14.8,2022,ARICAN FERHAT
1114,m,TUR,2022-10-09,2022 Mersin World Challenge Cup,qual,"Mersin, Turkey",PB,1,6.6,8.55,NA,15.15,2022,ARICAN FERHAT
1115,m,TUR,2022-10-09,2022 Mersin World Challenge Cup,final,"Mersin, Turkey",PH,2,5.8,8.65,NA,14.45,2022,ARICAN FERHAT
1116,m,TUR,2022-10-09,2022 Mersin World Challenge Cup,qual,"Mersin, Turkey",PH,3,5.8,8.25,NA,14.05,2022,ARICAN FERHAT
1117,m,TUR,2022-06-12,2022 Osijek World Challenge Cup,qual,"Osijek, Croatia",PB,1,6.5,8.9,NA,15.4,2022,ARICAN FERHAT
1118,m,TUR,2022-06-12,2022 Osijek World Challenge Cup,final,"Osijek, Croatia",PB,1,6.5,8.3,NA,14.8,2022,ARICAN FERHAT
1120,m,TUR,2022-06-12,2022 Osijek World Challenge Cup,qual,"Osijek, Croatia",PH,2,5.8,8.15,NA,13.95,2022,ARICAN FERHAT
1122,m,TUR,2022-09-25,2022 Paris World Challenge Cup,qual,"Paris, France",PB,5,6,8.15,NA,14.15,2022,ARICAN FERHAT
1125,m,TUR,2023-06-11,2023 Osijek World Challenge Cup,final,"Osijek, Croatia.",PB,2,6.5,8.466,NA,14.966,2023,ARICAN FERHAT
1128,m,TUR,2023-06-04,2023 Tel Aviv World Challenge Cup,final,"Tel Aviv, Israel",PB,5,6.5,7.1,NA,13.6,2023,ARICAN FERHAT
1129,m,TUR,2023-06-04,2023 Tel Aviv World Challenge Cup,qual,"Tel Aviv, Israel",PB,1,6.5,8.6,NA,15.1,2023,ARICAN FERHAT
1130,m,TUR,2023-06-04,2023 Tel Aviv World Challenge Cup,final,"Tel Aviv, Israel",PH,4,5.8,7.4,NA,13.2,2023,ARICAN FERHAT
1131,m,TUR,2023-06-04,2023 Tel Aviv World Challenge Cup,qual,"Tel Aviv, Israel",PH,4,5.8,7.85,NA,13.65,2023,ARICAN FERHAT
1204,m,TUR,2022-04-03,2022 Baku World Cup,qual,"Baku, Azerbaijan",SR,3,6.3,8.333,NA,14.633,2022,ASIL ADEM
1208,m,TUR,2022-02-27,2022 Cottbus World Cup,final,"Cottbus, Germany",SR,4,6.2,8.266,NA,14.466,2022,ASIL ADEM
1209,m,TUR,2022-02-27,2022 Cottbus World Cup,qual,"Cottbus, Germany",SR,1,6.2,8.333,NA,14.533,2022,ASIL ADEM
1211,m,TUR,2022-02-27,2022 Cottbus World Cup,final,"Cottbus, Germany",VT1,3,6,8.666,NA,14.666,2022,ASIL ADEM
1213,m,TUR,2022-02-27,2022 Cottbus World Cup,final,"Cottbus, Germany",VT2,3,5.6,9,0.1,14.5,2022,ASIL ADEM
1214,m,TUR,2022-10-09,2022 Mersin World Challenge Cup,final,"Mersin, Turkey",FX,2,5.8,8.5,NA,14.3,2022,ASIL ADEM
1215,m,TUR,2022-10-09,2022 Mersin World Challenge Cup,qual,"Mersin, Turkey",FX,3,5.8,8.6,NA,14.4,2022,ASIL ADEM
1216,m,TUR,2022-10-09,2022 Mersin World Challenge Cup,final,"Mersin, Turkey",HB,2,5,9.05,NA,14.05,2022,ASIL ADEM
1217,m,TUR,2022-10-09,2022 Mersin World Challenge Cup,qual,"Mersin, Turkey",HB,2,5.1,8.7,NA,13.8,2022,ASIL ADEM
1218,m,TUR,2022-10-09,2022 Mersin World Challenge Cup,qual,"Mersin, Turkey",SR,1,6.3,8.9,NA,15.2,2022,ASIL ADEM
1219,m,TUR,2022-10-09,2022 Mersin World Challenge Cup,final,"Mersin, Turkey",SR,1,6.3,8.7,NA,15,2022,ASIL ADEM
1221,m,TUR,2022-10-09,2022 Mersin World Challenge Cup,qual,"Mersin, Turkey",VT1,3,5.6,8.1,0.1,13.6,2022,ASIL ADEM
1222,m,TUR,2022-10-09,2022 Mersin World Challenge Cup,qual,"Mersin, Turkey",VT2,3,5.6,9.05,NA,14.65,2022,ASIL ADEM
1223,m,TUR,2022-06-12,2022 Osijek World Challenge Cup,final,"Osijek, Croatia",FX,2,5.8,8.733,NA,14.533,2022,ASIL ADEM
1224,m,TUR,2022-06-12,2022 Osijek World Challenge Cup,qual,"Osijek, Croatia",FX,1,5.8,8.4,NA,14.2,2022,ASIL ADEM
1226,m,TUR,2022-06-12,2022 Osijek World Challenge Cup,final,"Osijek, Croatia",HB,5,5.4,8.366,NA,13.766,2022,ASIL ADEM
1227,m,TUR,2022-06-12,2022 Osijek World Challenge Cup,qual,"Osijek, Croatia",SR,2,6.3,8.7,NA,15,2022,ASIL ADEM
1228,m,TUR,2022-06-12,2022 Osijek World Challenge Cup,final,"Osijek, Croatia",SR,1,6.3,8.6,NA,14.9,2022,ASIL ADEM
1229,m,TUR,2022-06-12,2022 Osijek World Challenge Cup,final,"Osijek, Croatia",VT1,3,6,9.3,NA,15.3,2022,ASIL ADEM
1230,m,TUR,2022-06-12,2022 Osijek World Challenge Cup,qual,"Osijek, Croatia",VT1,3,5.6,9.3,NA,14.9,2022,ASIL ADEM
1231,m,TUR,2022-06-12,2022 Osijek World Challenge Cup,final,"Osijek, Croatia",VT2,3,5.6,8.066,NA,13.666,2022,ASIL ADEM
1232,m,TUR,2022-06-12,2022 Osijek World Challenge Cup,qual,"Osijek, Croatia",VT2,3,5.6,8.2,0.3,13.5,2022,ASIL ADEM
1233,m,TUR,2022-09-25,2022 Paris World Challenge Cup,qual,"Paris, France",SR,1,6.3,8.6,NA,14.9,2022,ASIL ADEM
1234,m,TUR,2022-09-25,2022 Paris World Challenge Cup,final,"Paris, France",SR,1,6.3,8.5,NA,14.8,2022,ASIL ADEM
1236,m,TUR,2022-09-25,2022 Paris World Challenge Cup,final,"Paris, France",VT1,1,6,9,NA,15,2022,ASIL ADEM
1238,m,TUR,2022-09-25,2022 Paris World Challenge Cup,final,"Paris, France",VT2,1,5.6,8.95,0.1,14.45,2022,ASIL ADEM
1350,m,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",FX,4,4.6,8.75,NA,13.35,2022,BAINES FRANK
1414,m,GBR,2022-03-27,2022 British Gymnastics Championships,final,"Liverpool, England",PH,5,4.6,7.53,0,12.133,2022,BAPTISTE RAEKWON
1419,m,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",VT1,4,5.2,9.3,0,14.5,2022,BAPTISTE RAEKWON
1421,m,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",VT2,4,4.8,8.4,0.1,13.3,2022,BAPTISTE RAEKWON
1425,m,GBR,2023-03-26,2023 British Gymnastics Championships,final,"Liverpool, England",PH,4,5,7.6,0,12.6,2023,BAPTISTE RAEKWON
1430,m,GBR,2022-03-27,2022 British Gymnastics Championships,final,"Liverpool, England",FX,5,5.4,8.27,0,13.666,2022,BARBER EMIL
1431,m,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,2,5.4,8.55,0,13.95,2022,BARBER EMIL
1437,m,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",FX,4,5.7,8.1,NA,13.8,2022,BARBER EMIL
1438,m,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",FX,4,5.7,7.95,NA,13.65,2022,BARBER EMIL
1440,m,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",VT2,5,5.2,9,NA,14.2,2022,BARBER EMIL
1503,m,ITA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",FX,5,5.9,8.333,NA,14.233,2022,BARTOLINI NICOLA
1513,m,ITA,2022-08-21,2022 Senior European Championships,final,"Munich, Germany",FX,4,5.9,8.4,NA,14.3,2022,BARTOLINI NICOLA
1514,m,ITA,2022-08-21,2022 Senior European Championships,qual,"Munich, Germany",FX,1,5.9,8.6,NA,14.5,2022,BARTOLINI NICOLA
1515,m,ITA,2022-08-21,2022 Senior European Championships,TeamFinal,"Munich, Germany",FX,5,5.2,9.3,NA,14.5,2022,BARTOLINI NICOLA
1524,m,ITA,2022-08-21,2022 Senior European Championships,TeamFinal,"Munich, Germany",VT1,5,5.2,9.3,NA,14.5,2022,BARTOLINI NICOLA
1532,m,ITA,2023-03-12,2023 Baku World Cup,final,"Baku, Azerbaijan",FX,4,5.4,8.033,NA,13.433,2023,BARTOLINI NICOLA
1533,m,ITA,2023-03-12,2023 Baku World Cup,qual,"Baku, Azerbaijan",FX,4,5.7,8.266,NA,13.966,2023,BARTOLINI NICOLA
1535,m,ITA,2023-03-12,2023 Baku World Cup,final,"Baku, Azerbaijan",VT1,5,5.2,9.466,NA,14.666,2023,BARTOLINI NICOLA
1536,m,ITA,2023-03-12,2023 Baku World Cup,qual,"Baku, Azerbaijan",VT1,5,5.2,9.533,NA,14.733,2023,BARTOLINI NICOLA
1537,m,ITA,2023-03-12,2023 Baku World Cup,final,"Baku, Azerbaijan",VT2,5,4.8,9.333,NA,14.133,2023,BARTOLINI NICOLA
1538,m,ITA,2023-03-12,2023 Baku World Cup,qual,"Baku, Azerbaijan",VT2,5,4.8,9.266,NA,14.066,2023,BARTOLINI NICOLA
1551,m,SUI,2023-05-28,2023 Varna World Challenge Cup,final,"Varna, Bulgaria",HB,4,5.2,8.4,0,13.6,2023,BAUMANN CHRISTIAN
1552,m,SUI,2023-05-28,2023 Varna World Challenge Cup,qual,"Varna, Bulgaria",HB,2,5.2,8.4,0,13.6,2023,BAUMANN CHRISTIAN
1554,m,SUI,2023-05-28,2023 Varna World Challenge Cup,final,"Varna, Bulgaria",SR,5,5.2,8.466,0,13.666,2023,BAUMANN CHRISTIAN
1705,m,GBR,2022-03-27,2022 British Gymnastics Championships,final,"Liverpool, England",PB,3,5.7,8.4,0,14.1,2022,BEVAN BRINN
1706,m,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",PB,3,5.7,8.6,0,14.3,2022,BEVAN BRINN
1711,m,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",PB,4,6.1,8.35,NA,14.45,2022,BEVAN BRINN
1806,m,USA,2023-08-05,2023 FISU World University Games,qual,"Chengdu, China",VT1,4,5.2,9.5,NA,14.7,2023,BLIXT LANDEN
1832,m,ITA,2023-08-05,2023 FISU World University Games,AAfinal,"Chengdu, China",HB,5,5.4,8.5,NA,13.9,2023,BONICELLI LORENZO
1970,m,GER,2023-04-16,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PH,3,5.6,8.366,NA,13.966,2023,BRENDEL PASCAL
2482,m,BRA,2022-06-12,2022 Osijek World Challenge Cup,final,"Osijek, Croatia",HB,2,5.7,8.566,NA,14.266,2022,BITENCOURT LUCAS
2520,m,CAN,2022-06-19,2022 Koper World Challenge Cup,final,"Koper, Slovenia",SR,3,5.6,7.85,NA,13.45,2022,BLAQUIERE FELIX
2524,m,CAN,2022-10-09,2022 Mersin World Challenge Cup,final,"Mersin, Turkey",SR,5,5.6,8.25,NA,13.85,2022,BLAQUIERE FELIX
2582,m,USA,2022-07-31,2022 U.S. Classic,AAfinal,"West Valley City, Utah",PB,4,6,9,NA,15,2022,BOCK CAMERON
2605,m,USA,2023-02-26,2023 Winter Cup,AAfinal,"Louisville, Kentucky",HB,5,5.1,8.45,NA,13.55,2023,BOCK CAMERON
2721,m,USA,2023-08-06,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",HB,2,6.1,7.55,NA,13.65,2023,BRIONES BRANDON
2722,m,USA,2023-08-06,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",SR,5,5.6,8.5,NA,14.1,2023,BRIONES BRANDON
2755,m,USA,2022-06-19,2022 Koper World Challenge Cup,qual,"Koper, Slovenia",FX,1,6,8.3,NA,14.3,2022,BURKHART TAYLOR
2756,m,USA,2022-06-19,2022 Koper World Challenge Cup,final,"Koper, Slovenia",FX,3,6,7.95,NA,13.95,2022,BURKHART TAYLOR
2760,m,USA,2022-06-19,2022 Koper World Challenge Cup,qual,"Koper, Slovenia",SR,5,4.9,8.6,NA,13.5,2022,BURKHART TAYLOR
2761,m,USA,2022-06-19,2022 Koper World Challenge Cup,final,"Koper, Slovenia",SR,4,4.9,8.5,NA,13.4,2022,BURKHART TAYLOR
2763,m,USA,2022-06-19,2022 Koper World Challenge Cup,final,"Koper, Slovenia",VT1,3,5.4,9.15,NA,14.55,2022,BURKHART TAYLOR
2764,m,USA,2022-06-19,2022 Koper World Challenge Cup,final,"Koper, Slovenia",VT2,3,5.2,9.25,0.1,14.35,2022,BURKHART TAYLOR
2778,m,USA,2022-07-31,2022 U.S. Classic,AAfinal,"West Valley City, Utah",FX,3,6,8.3,NA,14.3,2022,BURKHART TAYLOR
2784,m,USA,2022-03-29,2022 Varna World Challenge Cup,qual,"Varna, Bulgaria",FX,1,6,8.1,NA,14.1,2022,BURKHART TAYLOR
2785,m,USA,2022-03-29,2022 Varna World Challenge Cup,final,"Varna, Bulgaria",FX,2,6,8.05,NA,14.05,2022,BURKHART TAYLOR
2787,m,USA,2022-03-29,2022 Varna World Challenge Cup,final,"Varna, Bulgaria",HB,5,5.6,7.9,NA,13.5,2022,BURKHART TAYLOR
2791,m,USA,2022-03-29,2022 Varna World Challenge Cup,qual,"Varna, Bulgaria",VT1,2,5.4,9.15,NA,14.55,2022,BURKHART TAYLOR
2792,m,USA,2022-03-29,2022 Varna World Challenge Cup,final,"Varna, Bulgaria",VT1,2,5.4,9.1,NA,14.5,2022,BURKHART TAYLOR
2793,m,USA,2022-03-29,2022 Varna World Challenge Cup,qual,"Varna, Bulgaria",VT2,2,5.2,9.05,0.1,14.15,2022,BURKHART TAYLOR
2794,m,USA,2022-03-29,2022 Varna World Challenge Cup,final,"Varna, Bulgaria",VT2,2,5.2,9,NA,14.2,2022,BURKHART TAYLOR
2797,m,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",PB,5,5.5,8.65,NA,14.15,2022,BURKHART TAYLOR
2798,m,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",PH,5,5,8.6,NA,13.6,2022,BURKHART TAYLOR
3078,m,ITA,2023-04-16,2023 Senior European Championships,AAfinal,"Antalya, Turkey",SR,5,5.1,8.4,NA,13.5,2023,CASALI LORENZO
3094,m,GBR,2022-03-27,2022 British Gymnastics Championships,final,"Liverpool, England",HB,5,4.7,7.97,0,12.666,2022,CEMLYN JOE
3095,m,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",HB,4,4.7,8.85,0,13.55,2022,CEMLYN JOE
3103,m,GBR,2023-03-26,2023 British Gymnastics Championships,final,"Liverpool, England",HB,3,4.9,8.4,0,13.3,2023,CEMLYN JOE
3105,m,GBR,2023-03-26,2023 British Gymnastics Championships,final,"Liverpool, England",PB,5,5.4,8.1,0,13.5,2023,CEMLYN JOE
3238,m,UKR,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT1,2,5.6,9.366,NA,14.966,2023,CHEPURNYI NAZAR
3239,m,UKR,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",VT2,3,5.6,9.2,0.1,14.7,2023,CHEPURNYI NAZAR
3240,m,UKR,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT2,3,5.6,8.9,NA,14.5,2023,CHEPURNYI NAZAR
3242,m,UKR,2023-04-30,2023 Cairo World Cup,final,"Cairo, Egypt",VT1,2,5.6,9.166,NA,14.766,2023,CHEPURNYI NAZAR
3243,m,UKR,2023-04-30,2023 Cairo World Cup,qual,"Cairo, Egypt",VT1,2,5.6,9.166,NA,14.766,2023,CHEPURNYI NAZAR
3244,m,UKR,2023-04-30,2023 Cairo World Cup,final,"Cairo, Egypt",VT2,2,5.6,9.233,NA,14.833,2023,CHEPURNYI NAZAR
3245,m,UKR,2023-04-30,2023 Cairo World Cup,qual,"Cairo, Egypt",VT2,2,5.6,9.266,NA,14.866,2023,CHEPURNYI NAZAR
3252,m,UKR,2023-08-05,2023 FISU World University Games,final,"Chengdu, China",VT2,1,5.6,9.3,NA,14.9,2023,CHEPURNYI NAZAR
3253,m,UKR,2023-08-05,2023 FISU World University Games,qual,"Chengdu, China",VT2,1,5.6,9.266,NA,14.866,2023,CHEPURNYI NAZAR
3257,m,JPN,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",HB,3,5.7,8.8,NA,14.5,2023,CHIBA KENTA
3361,m,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",PH,2,5.6,8.533,NA,14.133,2022,MCCLENAGHAN RHYS
3362,m,GBR,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",PH,2,5.7,8.65,NA,14.35,2022,MCCLENAGHAN RHYS
3372,m,TUR,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",SR,4,6.1,8.5,NA,14.6,2023,COLAK IBRAHIM
3373,m,TUR,2023-03-04,2023 Doha World Cup,final,"Doha, Qatar",SR,5,6.1,8.6,NA,14.7,2023,COLAK IBRAHIM
3378,m,TUR,2023-03-19,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",SR,1,6.2,8.4,NA,14.6,2023,COLAK IBRAHIM
3469,m,CAN,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",SR,4,5.4,8.366,NA,13.766,2023,COURNOYER RENE
