"","Country","FullName","meanFX"
"106","KOR","LEE DAYEONG",12.0546955
"107","KOR","LEE YUNSEO",13.0163205
"108","KOR","SHIN SOLYI",12.60918025
"109","KOR","YEO SEOJEONG",12.88675625
"110","MEX","CAMPOS PAULINA",12.14084925
"111","MEX","ESCALERA NATALIA",12.89923775
"112","MEX","LOUSTALOT CASSANDRA",12.82937275
"113","MEX","MORENO ALEXA",12.91430975
"114","MEX","SANDOVAL AHTZIRI",12.07506625
"115","NED","GEURTS ELISABETH",11.973919
"116","NED","POL VERA",12.6990235
"117","NED","SLOOFF FLOOR",12.38404225
"118","NED","THORSDOTTIR EYTHORA",12.85833925
"119","NED","VEERMAN SANNA",12.0802865
"120","NED","VISSER NAOMI",13.212021
"121","NED","VOLLEMAN TISHA",12.78635475
"122","PAN","HERON HILLARY",12.657183
"123","PHI","FINNEGAN ALEAH",12.81500725
"124","POR","MARTINS FILIPA",12.73297475
"125","ROU","BARBOSU ANA",12.9144275
"126","ROU","DUTA ANTONIA",12.291216
"127","ROU","GHIGOARTA AMALIA",12.54944175
"128","ROU","MANECA SABRINA",13.5763395
"129","ROU","PREDA ANDREEA",12.26291675
"130","ROU","SFIRINGU SILVIANA",10.04905975
"131","ROU","STANCIULESCU IOANA",11.41001425
"132","RSA","ROOSKRANTZ CAITLIN",12.06109325
"133","SLO","HRIBAR LUCIJA",11.04396875
"134","SUI","BICKEL LENA",12.76092075
"135","UKR","LASHCHEVSKA ANNA",11.684254
"136","USA","BILES SIMONE",14.88717175
"137","USA","BLAKELY SKYE",13.10333775
"138","USA","BOOTH CHARLOTTE",12.06941425
"139","USA","CAREY JADE",13.77749575
"140","USA","CHILES JORDAN",13.780832
"141","USA","DIAZ STELLA",11.059394
"142","USA","DISIDORE AMELIA",13.02727125
"143","USA","EICHMAN JORDIS",12.4807935
"144","USA","FATTA ADDISON",12.57267775
"145","USA","JONES SHILESE",13.697151
"146","USA","JONG KATELYN",13.160839
"147","USA","JUNG LEVI",12.133902
"148","USA","LEW MYLI",11.96367475
"149","USA","LINCOLN KALIYA",14.0121715
"150","USA","LITTLE LAUREN",11.38355975
"151","USA","MATTHEWS NOLA",12.81445775
"152","USA","MCCLAIN KONNOR",13.6089955
"153","USA","MILLER ZOE",12.00567225
"154","USA","MUELLER ELLE",13.022679
"155","USA","NEAL MARISSA",12.31103725
"156","USA","PIERSON BROOKE",11.67660025
"157","USA","ROBERSON JOSCELYN",13.48971475
"158","USA","ROSEN KATELYN",12.8693685
"159","USA","SULLIVAN ASHLEE",13.0670315
"160","USA","SUMANASEKERA TIANA",13.24243975
"161","USA","WALKER PAITYN",11.01869175
"162","USA","WONG LEANNE",13.4452445
"163","USA","ZEISS LEXI",13.06605025
